  ====================================================
  TEXSTAN(academic)
  s31.dat, lam, pipe, CEF, q"s(x)                                         
  stepsize: variable from dx=  .010 to dx= 1.000
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 8.25000E+02  vis= 2.10000E-01  sp_ht= 2.00000E+03
     prc(je)= 5000.000
  initial profiles: kstart=  2  dyi= 5.000E-04  rate=  .0900
  laminar flow
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  ====================================================

   input Reynolds number= 1.0000E+03 (not TEXSTAN-calculated value)
   Reynolds number= 1.0002E+03    Prandtl number= 5000.000
   U,mean = 5.0920E+00            d,h = 5.0000E-02
   viscom = 2.1000E-01            rhom  = 8.2500E+02

  ====================================================

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
    0 0.000E+00 0.000E+00 1.199E-02 1.199E-02  8.239E+00 -8.239E+00
               y(i)           u(i)         f(1,i)         f(2,i)         f(3,i)
       1.295272E-02   7.630729E+00   2.997937E+02   0.000000E+00   0.000000E+00
       1.344851E-02   7.592395E+00   2.997993E+02   0.000000E+00   0.000000E+00
       1.403044E-02   7.521892E+00   2.998095E+02   0.000000E+00   0.000000E+00
       1.465544E-02   7.409305E+00   2.998258E+02   0.000000E+00   0.000000E+00
       1.528044E-02   7.258537E+00   2.998476E+02   0.000000E+00   0.000000E+00
       1.590544E-02   7.069587E+00   2.998746E+02   0.000000E+00   0.000000E+00
       1.653044E-02   6.842454E+00   2.999068E+02   0.000000E+00   0.000000E+00
       1.715544E-02   6.577140E+00   2.999440E+02   0.000000E+00   0.000000E+00
       1.777465E-02   6.276631E+00   2.999856E+02   0.000000E+00   0.000000E+00
       1.836986E-02   5.952442E+00   3.000298E+02   0.000000E+00   0.000000E+00
       1.892304E-02   5.620101E+00   3.000744E+02   0.000000E+00   0.000000E+00
       1.943054E-02   5.288892E+00   3.001182E+02   0.000000E+00   0.000000E+00
       1.989613E-02   4.962888E+00   3.001606E+02   0.000000E+00   0.000000E+00
       2.032329E-02   4.645165E+00   3.002012E+02   0.000000E+00   0.000000E+00
       2.071517E-02   4.337989E+00   3.002400E+02   0.000000E+00   0.000000E+00
       2.107470E-02   4.042973E+00   3.002766E+02   0.000000E+00   0.000000E+00
       2.140454E-02   3.761203E+00   3.003110E+02   0.000000E+00   0.000000E+00
       2.170715E-02   3.493346E+00   3.003433E+02   0.000000E+00   0.000000E+00
       2.198477E-02   3.239732E+00   3.003734E+02   0.000000E+00   0.000000E+00
       2.223947E-02   3.000433E+00   3.004015E+02   0.000000E+00   0.000000E+00
       2.247313E-02   2.775315E+00   3.004276E+02   0.000000E+00   0.000000E+00
       2.268751E-02   2.564091E+00   3.004517E+02   0.000000E+00   0.000000E+00
       2.288418E-02   2.366357E+00   3.004741E+02   0.000000E+00   0.000000E+00
       2.306462E-02   2.181623E+00   3.004948E+02   0.000000E+00   0.000000E+00
       2.323015E-02   2.009344E+00   3.005138E+02   0.000000E+00   0.000000E+00
       2.338202E-02   1.848934E+00   3.005314E+02   0.000000E+00   0.000000E+00
       2.352135E-02   1.699786E+00   3.005476E+02   0.000000E+00   0.000000E+00
       2.364917E-02   1.561284E+00   3.005626E+02   0.000000E+00   0.000000E+00
       2.376644E-02   1.432813E+00   3.005763E+02   0.000000E+00   0.000000E+00
       2.387403E-02   1.313768E+00   3.005889E+02   0.000000E+00   0.000000E+00
       2.397274E-02   1.203557E+00   3.006006E+02   0.000000E+00   0.000000E+00
       2.406329E-02   1.101608E+00   3.006112E+02   0.000000E+00   0.000000E+00
       2.414637E-02   1.007372E+00   3.006210E+02   0.000000E+00   0.000000E+00
       2.422258E-02   9.203239E-01   3.006301E+02   0.000000E+00   0.000000E+00
       2.429251E-02   8.399637E-01   3.006383E+02   0.000000E+00   0.000000E+00
       2.435666E-02   7.658183E-01   3.006459E+02   0.000000E+00   0.000000E+00
       2.441551E-02   6.974413E-01   3.006529E+02   0.000000E+00   0.000000E+00
       2.446951E-02   6.344122E-01   3.006593E+02   0.000000E+00   0.000000E+00
       2.451904E-02   5.763368E-01   3.006652E+02   0.000000E+00   0.000000E+00
       2.456449E-02   5.228456E-01   3.006706E+02   0.000000E+00   0.000000E+00
       2.460618E-02   4.735935E-01   3.006755E+02   0.000000E+00   0.000000E+00
       2.464443E-02   4.282587E-01   3.006801E+02   0.000000E+00   0.000000E+00
       2.467953E-02   3.865413E-01   3.006843E+02   0.000000E+00   0.000000E+00
       2.471172E-02   3.481626E-01   3.006881E+02   0.000000E+00   0.000000E+00
       2.474126E-02   3.128637E-01   3.006916E+02   0.000000E+00   0.000000E+00
       2.476836E-02   2.804044E-01   3.006948E+02   0.000000E+00   0.000000E+00
       2.479322E-02   2.505620E-01   3.006978E+02   0.000000E+00   0.000000E+00
       2.481602E-02   2.231306E-01   3.007005E+02   0.000000E+00   0.000000E+00
       2.483695E-02   1.979194E-01   3.007030E+02   0.000000E+00   0.000000E+00
       2.485615E-02   1.747523E-01   3.007053E+02   0.000000E+00   0.000000E+00
       2.487376E-02   1.534663E-01   3.007074E+02   0.000000E+00   0.000000E+00
       2.488992E-02   1.339113E-01   3.007093E+02   0.000000E+00   0.000000E+00
       2.490474E-02   1.159484E-01   3.007110E+02   0.000000E+00   0.000000E+00
       2.491834E-02   9.944981E-02   3.007127E+02   0.000000E+00   0.000000E+00
       2.493081E-02   8.429759E-02   3.007141E+02   0.000000E+00   0.000000E+00
       2.494226E-02   7.038309E-02   3.007155E+02   0.000000E+00   0.000000E+00
       2.495276E-02   5.760623E-02   3.007168E+02   0.000000E+00   0.000000E+00
       2.496240E-02   4.587486E-02   3.007179E+02   0.000000E+00   0.000000E+00
       2.497124E-02   3.510415E-02   3.007190E+02   0.000000E+00   0.000000E+00
       2.497934E-02   2.521605E-02   3.007199E+02   0.000000E+00   0.000000E+00
       2.498678E-02   1.613875E-02   3.007208E+02   0.000000E+00   0.000000E+00
       2.499517E-02   5.897952E-03   3.007218E+02   0.000000E+00   0.000000E+00
       2.500000E-02   0.000000E+00   3.007224E+02   0.000000E+00   0.000000E+00

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
