  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 1.17700E+00  vis= 1.83800E-05  sp_ht= 1.00500E+03
     prc(je)=     .707
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 2.100E+01 1.050E-02 2.590E+00 2.588E+01  9.316E-03

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
    61 1.575E-05 2.382E+00 4.786E-01 1.588E-01 1.409E-01  0.000E+00
    62 1.718E-05 2.597E+00 5.219E-01 1.731E-01 1.536E-01  0.000E+00
    63 1.874E-05 2.831E+00 5.691E-01 1.887E-01 1.675E-01  0.000E+00
    64 2.043E-05 3.086E+00 6.206E-01 2.057E-01 1.826E-01  0.000E+00
    65 2.228E-05 3.363E+00 6.767E-01 2.242E-01 1.990E-01  0.000E+00
    66 2.429E-05 3.665E+00 7.378E-01 2.443E-01 2.169E-01  0.000E+00
    67 2.648E-05 3.993E+00 8.045E-01 2.662E-01 2.364E-01  0.000E+00
    68 2.887E-05 4.348E+00 8.771E-01 2.899E-01 2.575E-01  0.000E+00
    69 3.148E-05 4.735E+00 9.563E-01 3.156E-01 2.805E-01  0.000E+00
    70 3.432E-05 5.153E+00 1.043E+00 3.435E-01 3.055E-01  0.000E+00
    71 3.742E-05 5.605E+00 1.137E+00 3.737E-01 3.325E-01  0.000E+00
    72 4.080E-05 6.093E+00 1.239E+00 4.062E-01 3.617E-01  0.000E+00
    73 4.448E-05 6.617E+00 1.351E+00 4.411E-01 3.933E-01  0.000E+00
    74 4.849E-05 7.178E+00 1.473E+00 4.786E-01 4.272E-01  0.000E+00
    75 5.286E-05 7.776E+00 1.606E+00 5.184E-01 4.637E-01  0.000E+00
    76 5.762E-05 8.410E+00 1.750E+00 5.606E-01 5.026E-01  0.000E+00
    77 6.282E-05 9.074E+00 1.908E+00 6.049E-01 5.438E-01  0.000E+00
    78 6.836E-05 9.748E+00 2.076E+00 6.499E-01 5.863E-01  0.000E+00
    79 7.401E-05 1.040E+01 2.248E+00 6.932E-01 6.280E-01  0.000E+00
    80 7.967E-05 1.100E+01 2.420E+00 7.336E-01 6.676E-01  0.000E+00
    81 8.533E-05 1.156E+01 2.592E+00 7.708E-01 7.051E-01  0.000E+00
    82 9.099E-05 1.207E+01 2.764E+00 8.048E-01 7.402E-01  0.000E+00
    83 9.665E-05 1.253E+01 2.936E+00 8.355E-01 7.728E-01  0.000E+00
    84 1.023E-04 1.294E+01 3.108E+00 8.628E-01 8.029E-01  0.000E+00
    85 1.080E-04 1.330E+01 3.280E+00 8.868E-01 8.304E-01  0.000E+00
    86 1.136E-04 1.362E+01 3.452E+00 9.077E-01 8.553E-01  0.000E+00
    87 1.193E-04 1.388E+01 3.624E+00 9.256E-01 8.776E-01  0.000E+00
    88 1.250E-04 1.411E+01 3.796E+00 9.408E-01 8.974E-01  0.000E+00
    89 1.306E-04 1.430E+01 3.968E+00 9.534E-01 9.148E-01  0.000E+00
    90 1.363E-04 1.446E+01 4.140E+00 9.638E-01 9.300E-01  0.000E+00
    91 1.419E-04 1.458E+01 4.311E+00 9.722E-01 9.431E-01  0.000E+00
    92 1.476E-04 1.468E+01 4.483E+00 9.789E-01 9.542E-01  0.000E+00
    93 1.533E-04 1.476E+01 4.655E+00 9.843E-01 9.637E-01  0.000E+00
    94 1.589E-04 1.483E+01 4.827E+00 9.884E-01 9.716E-01  0.000E+00
    95 1.646E-04 1.487E+01 4.999E+00 9.915E-01 9.781E-01  0.000E+00
    96 1.702E-04 1.491E+01 5.171E+00 9.939E-01 9.835E-01  0.000E+00
    97 1.759E-04 1.494E+01 5.343E+00 9.957E-01 9.878E-01  0.000E+00
    98 1.816E-04 1.495E+01 5.515E+00 9.970E-01 9.913E-01  0.000E+00
    99 1.872E-04 1.497E+01 5.687E+00 9.979E-01 9.941E-01  0.000E+00
   100 1.929E-04 1.498E+01 5.859E+00 9.986E-01 9.962E-01  0.000E+00
   101 1.985E-04 1.499E+01 6.031E+00 9.990E-01 9.979E-01  0.000E+00
   102 2.042E-04 1.499E+01 6.203E+00 9.994E-01 9.992E-01  0.000E+00
   103 2.099E-04 1.499E+01 6.375E+00 9.996E-01 1.000E+00  0.000E+00
   104 2.155E-04 1.500E+01 6.547E+00 9.997E-01 1.000E+00  0.000E+00
   105 2.212E-04 1.500E+01 6.719E+00 9.998E-01 1.000E+00  0.000E+00
   106 2.268E-04 1.500E+01 6.890E+00 9.999E-01 1.000E+00  0.000E+00
   107 2.325E-04 1.500E+01 7.062E+00 9.999E-01 1.000E+00  0.000E+00
   108 2.382E-04 1.500E+01 7.234E+00 1.000E+00 1.000E+00  0.000E+00
   109 2.438E-04 1.500E+01 7.406E+00 1.000E+00 1.000E+00  0.000E+00
   110 2.495E-04 1.500E+01 7.578E+00 1.000E+00 1.000E+00  0.000E+00
   111 2.551E-04 1.500E+01 7.750E+00 1.000E+00 1.000E+00  0.000E+00
   112 2.608E-04 1.500E+01 7.922E+00 1.000E+00 1.000E+00  0.000E+00
   113 2.665E-04 1.500E+01 8.094E+00 1.000E+00 1.000E+00  0.000E+00
   114 2.721E-04 1.500E+01 8.266E+00 1.000E+00 1.000E+00  0.000E+00
   115 2.778E-04 1.500E+01 8.438E+00 1.000E+00 1.000E+00  0.000E+00
   116 2.834E-04 1.500E+01 8.610E+00 1.000E+00 1.000E+00  0.000E+00
   117 2.891E-04 1.500E+01 8.782E+00 1.000E+00 1.000E+00  0.000E+00
   118 2.948E-04 1.500E+01 8.954E+00 1.000E+00 1.000E+00  0.000E+00
   119 3.004E-04 1.500E+01 9.126E+00 1.000E+00 1.000E+00  0.000E+00
   120 3.061E-04 1.500E+01 9.298E+00 1.000E+00 1.000E+00  0.000E+00
   121 3.117E-04 1.500E+01 9.469E+00 1.000E+00 1.000E+00  0.000E+00
   122 3.174E-04 1.500E+01 9.641E+00 1.000E+00 1.000E+00  0.000E+00
   123 3.231E-04 1.500E+01 9.813E+00 1.000E+00 1.000E+00  0.000E+00
   124 3.287E-04 1.500E+01 9.985E+00 1.000E+00 1.000E+00  0.000E+00
   125 3.344E-04 1.500E+01 1.016E+01 1.000E+00 1.000E+00  0.000E+00
   126 3.400E-04 1.500E+01 1.033E+01 1.000E+00 1.000E+00  0.000E+00
   127 3.471E-04 1.500E+01 1.054E+01 1.000E+00 1.000E+00  0.000E+00
   128 3.514E-04 1.500E+01 1.067E+01 1.000E+00 1.000E+00  0.000E+00

  intg x         rem       cf2       h12       reh        st
   802 5.000E-02 1.456E+02 1.515E-03 2.590E+00 1.820E+02  1.896E-03

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
     1 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00  0.000E+00
     2 4.108E-08 8.964E-04 1.800E-04 5.976E-05 5.289E-05  0.000E+00
     3 1.124E-07 2.454E-03 4.928E-04 1.636E-04 1.448E-04  0.000E+00
     4 1.757E-07 3.835E-03 7.702E-04 2.557E-04 2.263E-04  0.000E+00
     5 2.447E-07 5.340E-03 1.073E-03 3.560E-04 3.151E-04  0.000E+00
     6 3.199E-07 6.981E-03 1.402E-03 4.654E-04 4.119E-04  0.000E+00
     7 4.019E-07 8.770E-03 1.761E-03 5.847E-04 5.174E-04  0.000E+00
     8 4.912E-07 1.072E-02 2.153E-03 7.146E-04 6.325E-04  0.000E+00
     9 5.886E-07 1.284E-02 2.580E-03 8.563E-04 7.579E-04  0.000E+00
    10 6.948E-07 1.516E-02 3.045E-03 1.011E-03 8.945E-04  0.000E+00
    11 8.105E-07 1.769E-02 3.552E-03 1.179E-03 1.043E-03  0.000E+00
    12 9.366E-07 2.044E-02 4.105E-03 1.363E-03 1.206E-03  0.000E+00
    13 1.074E-06 2.344E-02 4.708E-03 1.563E-03 1.383E-03  0.000E+00
    14 1.224E-06 2.671E-02 5.364E-03 1.780E-03 1.576E-03  0.000E+00
    15 1.387E-06 3.027E-02 6.080E-03 2.018E-03 1.786E-03  0.000E+00
    16 1.565E-06 3.416E-02 6.860E-03 2.277E-03 2.015E-03  0.000E+00
    17 1.759E-06 3.839E-02 7.711E-03 2.559E-03 2.265E-03  0.000E+00
    18 1.971E-06 4.301E-02 8.638E-03 2.867E-03 2.537E-03  0.000E+00
    19 2.201E-06 4.804E-02 9.648E-03 3.202E-03 2.834E-03  0.000E+00
    20 2.453E-06 5.352E-02 1.075E-02 3.568E-03 3.158E-03  0.000E+00
    21 2.726E-06 5.950E-02 1.195E-02 3.967E-03 3.510E-03  0.000E+00
