   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   x/s            yl        uinf      del2      h12       del3
    2.0009426E-01 6.640E-03 1.500E+01 7.244E-04 1.465E+00 6.111E-04
    2.0182762E-01 7.682E-03 1.500E+01 7.290E-04 1.453E+00 6.169E-04
    2.0820428E-01 8.408E-03 1.500E+01 7.456E-04 1.448E+00 6.378E-04
    2.2608242E-01 9.157E-03 1.500E+01 7.896E-04 1.435E+00 6.928E-04
    2.4977884E-01 9.779E-03 1.500E+01 8.473E-04 1.424E+00 7.645E-04
    2.7491035E-01 1.030E-02 1.500E+01 9.066E-04 1.423E+00 8.374E-04
    3.0137550E-01 1.084E-02 1.500E+01 9.670E-04 1.424E+00 9.108E-04
    3.2906663E-01 1.135E-02 1.500E+01 1.028E-03 1.425E+00 9.848E-04
    3.5803611E-01 1.181E-02 1.500E+01 1.091E-03 1.426E+00 1.060E-03
    3.8814417E-01 1.231E-02 1.500E+01 1.154E-03 1.426E+00 1.136E-03
    4.1956017E-01 1.282E-02 1.500E+01 1.219E-03 1.426E+00 1.213E-03
    4.5220894E-01 1.330E-02 1.500E+01 1.285E-03 1.425E+00 1.292E-03
    4.8601586E-01 1.375E-02 1.500E+01 1.353E-03 1.424E+00 1.372E-03
    5.2103486E-01 1.429E-02 1.500E+01 1.422E-03 1.423E+00 1.454E-03
    5.5742536E-01 1.484E-02 1.500E+01 1.493E-03 1.421E+00 1.537E-03
    5.9520276E-01 1.540E-02 1.500E+01 1.566E-03 1.419E+00 1.623E-03
    6.3439697E-01 1.597E-02 1.500E+01 1.640E-03 1.417E+00 1.711E-03
    6.7505209E-01 1.657E-02 1.500E+01 1.717E-03 1.414E+00 1.801E-03
    7.1722322E-01 1.719E-02 1.500E+01 1.795E-03 1.412E+00 1.893E-03
    7.6097478E-01 1.783E-02 1.500E+01 1.876E-03 1.409E+00 1.988E-03
    8.0637978E-01 1.851E-02 1.500E+01 1.959E-03 1.406E+00 2.085E-03
    8.5351680E-01 1.922E-02 1.500E+01 2.044E-03 1.403E+00 2.185E-03
    9.0246572E-01 1.996E-02 1.500E+01 2.132E-03 1.400E+00 2.288E-03
    9.5330577E-01 2.073E-02 1.500E+01 2.223E-03 1.397E+00 2.394E-03
    1.0061136E+00 2.153E-02 1.500E+01 2.316E-03 1.394E+00 2.503E-03
    1.0609616E+00 2.236E-02 1.500E+01 2.412E-03 1.391E+00 2.615E-03
    1.1179171E+00 2.322E-02 1.500E+01 2.512E-03 1.388E+00 2.731E-03
    1.1770424E+00 2.410E-02 1.500E+01 2.614E-03 1.385E+00 2.850E-03
    1.2383962E+00 2.500E-02 1.500E+01 2.719E-03 1.382E+00 2.972E-03
    1.3022329E+00 2.609E-02 1.500E+01 2.828E-03 1.379E+00 3.099E-03
    1.3688299E+00 2.721E-02 1.500E+01 2.940E-03 1.376E+00 3.230E-03
    1.4382563E+00 2.836E-02 1.500E+01 3.057E-03 1.373E+00 3.366E-03
    1.5105698E+00 2.952E-02 1.500E+01 3.178E-03 1.370E+00 3.506E-03
    1.5858192E+00 3.070E-02 1.500E+01 3.302E-03 1.367E+00 3.651E-03
    1.6640470E+00 3.190E-02 1.500E+01 3.431E-03 1.364E+00 3.800E-03
    1.7452942E+00 3.312E-02 1.500E+01 3.564E-03 1.361E+00 3.955E-03
    1.8296019E+00 3.435E-02 1.500E+01 3.701E-03 1.358E+00 4.114E-03
    1.9172817E+00 3.585E-02 1.500E+01 3.842E-03 1.356E+00 4.278E-03
    2.0088131E+00 3.740E-02 1.500E+01 3.989E-03 1.353E+00 4.448E-03
    2.1042254E+00 3.896E-02 1.500E+01 4.141E-03 1.350E+00 4.624E-03
    2.2035387E+00 4.052E-02 1.500E+01 4.298E-03 1.348E+00 4.806E-03
    2.3067737E+00 4.210E-02 1.500E+01 4.460E-03 1.345E+00 4.994E-03
    2.4139576E+00 4.368E-02 1.500E+01 4.628E-03 1.343E+00 5.188E-03
    2.5251237E+00 4.528E-02 1.500E+01 4.800E-03 1.341E+00 5.388E-03
    2.6405781E+00 4.719E-02 1.500E+01 4.978E-03 1.338E+00 5.594E-03
    2.7610187E+00 4.920E-02 1.500E+01 5.163E-03 1.336E+00 5.808E-03
    2.8864821E+00 5.121E-02 1.500E+01 5.354E-03 1.334E+00 6.029E-03
    3.0000000E+00 5.297E-02 1.500E+01 5.526E-03 1.332E+00 6.228E-03
