  ====================================================
  TEXSTAN(academic)
  s31.dat, lam, pipe, CEF, q"s(x)                                         
  stepsize: variable from dx=  .010 to dx= 1.000
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 1.17660E+00  vis= 1.85300E-05  sp_ht= 1.00500E+03
     prc(je)=     .711
  initial profiles: kstart=  2  dyi= 5.000E-04  rate=  .0900
  laminar flow
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  ====================================================

   input Reynolds number= 1.0000E+03 (not TEXSTAN-calculated value)
   Reynolds number= 1.0005E+03    Prandtl number=     .711
   U,mean = 1.5757E-01            d,h = 1.0000E-01
   viscom = 1.8530E-05            rhom  = 1.1766E+00

  ====================================================

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
    0 0.000E+00 0.000E+00 0.000E+00 7.992E-03  0.000E+00  3.682E+03

    i  y(i)      u(i)      y/y(E)    u/umean   f,ratio                
    62 4.995E-02 6.657E-04 9.989E-01 4.225E-03 2.390E-03
    63 4.998E-02 2.433E-04 9.996E-01 1.544E-03 8.727E-04
    64 5.000E-02 0.000E+00 1.000E+00 0.000E+00 0.000E+00

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
  353 5.000E+01 1.614E-02 0.000E+00 7.994E-03  0.000E+00  3.673E+00

    i  y(i)      u(i)      y/y(E)    u/umean   f,ratio                
     1 0.000E+00 3.142E-01 0.000E+00 1.994E+00 1.788E+00
     2 1.922E-03 3.142E-01 3.845E-02 1.994E+00 1.788E+00
     3 3.947E-03 3.129E-01 7.893E-02 1.986E+00 1.774E+00
     4 6.251E-03 3.100E-01 1.250E-01 1.968E+00 1.745E+00
     5 8.715E-03 3.054E-01 1.743E-01 1.938E+00 1.699E+00
     6 1.120E-02 2.993E-01 2.239E-01 1.899E+00 1.639E+00
     7 1.368E-02 2.915E-01 2.737E-01 1.850E+00 1.566E+00
     8 1.617E-02 2.822E-01 3.235E-01 1.791E+00 1.481E+00
     9 1.867E-02 2.712E-01 3.734E-01 1.721E+00 1.386E+00
    10 2.114E-02 2.589E-01 4.228E-01 1.643E+00 1.283E+00
    11 2.351E-02 2.455E-01 4.702E-01 1.558E+00 1.178E+00
    12 2.572E-02 2.318E-01 5.143E-01 1.471E+00 1.077E+00
    13 2.774E-02 2.182E-01 5.548E-01 1.385E+00 9.811E-01
    14 2.960E-02 2.047E-01 5.920E-01 1.299E+00 8.924E-01
    15 3.131E-02 1.916E-01 6.261E-01 1.216E+00 8.107E-01
    16 3.287E-02 1.789E-01 6.574E-01 1.136E+00 7.358E-01
    17 3.431E-02 1.668E-01 6.862E-01 1.058E+00 6.676E-01
    18 3.563E-02 1.552E-01 7.125E-01 9.847E-01 6.056E-01
    19 3.683E-02 1.441E-01 7.367E-01 9.146E-01 5.493E-01
    20 3.794E-02 1.336E-01 7.589E-01 8.482E-01 4.984E-01
    21 3.896E-02 1.238E-01 7.792E-01 7.855E-01 4.522E-01
    22 3.990E-02 1.145E-01 7.979E-01 7.266E-01 4.105E-01
    23 4.075E-02 1.058E-01 8.151E-01 6.713E-01 3.726E-01
    24 4.154E-02 9.762E-02 8.308E-01 6.195E-01 3.384E-01
    25 4.226E-02 8.999E-02 8.452E-01 5.712E-01 3.074E-01
    26 4.292E-02 8.289E-02 8.585E-01 5.261E-01 2.793E-01
    27 4.353E-02 7.627E-02 8.706E-01 4.841E-01 2.538E-01
