  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 6.00000E-01  vis= 1.30000E-05  sp_ht= 2.00300E+03
     prc(je)=    1.000
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 1.783E+01 1.237E-02 2.590E+00 1.784E+01  1.237E-02

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
    61 1.856E-05 2.382E+00 4.786E-01 1.588E-01 1.588E-01  0.000E+00
    62 2.024E-05 2.597E+00 5.219E-01 1.731E-01 1.731E-01  0.000E+00
    63 2.207E-05 2.831E+00 5.691E-01 1.887E-01 1.887E-01  0.000E+00
    64 2.406E-05 3.086E+00 6.206E-01 2.057E-01 2.057E-01  0.000E+00
    65 2.624E-05 3.363E+00 6.767E-01 2.242E-01 2.242E-01  0.000E+00
    66 2.861E-05 3.665E+00 7.378E-01 2.443E-01 2.443E-01  0.000E+00
    67 3.119E-05 3.993E+00 8.045E-01 2.662E-01 2.662E-01  0.000E+00
    68 3.401E-05 4.348E+00 8.771E-01 2.899E-01 2.899E-01  0.000E+00
    69 3.708E-05 4.735E+00 9.563E-01 3.156E-01 3.156E-01  0.000E+00
    70 4.043E-05 5.153E+00 1.043E+00 3.435E-01 3.435E-01  0.000E+00
    71 4.408E-05 5.605E+00 1.137E+00 3.737E-01 3.737E-01  0.000E+00
    72 4.805E-05 6.093E+00 1.239E+00 4.062E-01 4.062E-01  0.000E+00
    73 5.239E-05 6.617E+00 1.351E+00 4.411E-01 4.411E-01  0.000E+00
    74 5.711E-05 7.178E+00 1.473E+00 4.786E-01 4.785E-01  0.000E+00
    75 6.226E-05 7.776E+00 1.606E+00 5.184E-01 5.184E-01  0.000E+00
    76 6.788E-05 8.410E+00 1.750E+00 5.606E-01 5.606E-01  0.000E+00
