   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  1005.00 htc based on (ts-tinf)
        intg  x/s            htc         uinf        st
           5  2.0011288E-01  5.5743E+01  1.5000E+01  3.1416E-03
          50  2.0156056E-01  5.5139E+01  1.5000E+01  3.1076E-03
         100  2.0744056E-01  5.5277E+01  1.5000E+01  3.1154E-03
         150  2.2435896E-01  5.3614E+01  1.5000E+01  3.0217E-03
         200  2.4514801E-01  5.1468E+01  1.5000E+01  2.9007E-03
         250  2.6756227E-01  4.9358E+01  1.5000E+01  2.7818E-03
         300  2.9148718E-01  4.7549E+01  1.5000E+01  2.6798E-03
         350  3.1690622E-01  4.6059E+01  1.5000E+01  2.5959E-03
         400  3.4372697E-01  4.4843E+01  1.5000E+01  2.5273E-03
         450  3.7186220E-01  4.3842E+01  1.5000E+01  2.4709E-03
         500  4.0147726E-01  4.2997E+01  1.5000E+01  2.4233E-03
         550  4.3253006E-01  4.2271E+01  1.5000E+01  2.3824E-03
         600  4.6499252E-01  4.1638E+01  1.5000E+01  2.3467E-03
         650  4.9886059E-01  4.1075E+01  1.5000E+01  2.3149E-03
         700  5.3415326E-01  4.0566E+01  1.5000E+01  2.2863E-03
         750  5.7091057E-01  4.0100E+01  1.5000E+01  2.2600E-03
         800  6.0919393E-01  3.9668E+01  1.5000E+01  2.2356E-03
         850  6.4910818E-01  3.9262E+01  1.5000E+01  2.2128E-03
         900  6.9071860E-01  3.8879E+01  1.5000E+01  2.1912E-03
         950  7.3407971E-01  3.8514E+01  1.5000E+01  2.1706E-03
        1000  7.7929629E-01  3.8164E+01  1.5000E+01  2.1509E-03
        1050  8.2649026E-01  3.7826E+01  1.5000E+01  2.1319E-03
        1100  8.7576227E-01  3.7499E+01  1.5000E+01  2.1134E-03
        1150  9.2720988E-01  3.7181E+01  1.5000E+01  2.0955E-03
        1200  9.8092571E-01  3.6871E+01  1.5000E+01  2.0780E-03
        1250  1.0369963E+00  3.6568E+01  1.5000E+01  2.0610E-03
        1300  1.0955015E+00  3.6272E+01  1.5000E+01  2.0443E-03
        1350  1.1565148E+00  3.5982E+01  1.5000E+01  2.0279E-03
        1400  1.2201036E+00  3.5698E+01  1.5000E+01  2.0119E-03
        1450  1.2863305E+00  3.5419E+01  1.5000E+01  1.9962E-03
        1500  1.3552545E+00  3.5145E+01  1.5000E+01  1.9808E-03
        1550  1.4269378E+00  3.4877E+01  1.5000E+01  1.9656E-03
        1600  1.5017600E+00  3.4613E+01  1.5000E+01  1.9507E-03
        1650  1.5799689E+00  3.4352E+01  1.5000E+01  1.9360E-03
        1700  1.6616205E+00  3.4094E+01  1.5000E+01  1.9215E-03
        1750  1.7467668E+00  3.3841E+01  1.5000E+01  1.9073E-03
        1800  1.8354577E+00  3.3592E+01  1.5000E+01  1.8932E-03
        1850  1.9277426E+00  3.3347E+01  1.5000E+01  1.8794E-03
        1900  2.0236724E+00  3.3106E+01  1.5000E+01  1.8659E-03
        1950  2.1233252E+00  3.2870E+01  1.5000E+01  1.8525E-03
        2000  2.2272859E+00  3.2637E+01  1.5000E+01  1.8394E-03
        2050  2.3358142E+00  3.2406E+01  1.5000E+01  1.8264E-03
        2100  2.4489510E+00  3.2179E+01  1.5000E+01  1.8136E-03
        2150  2.5667394E+00  3.1955E+01  1.5000E+01  1.8009E-03
        2200  2.6892261E+00  3.1734E+01  1.5000E+01  1.7885E-03
        2250  2.8164627E+00  3.1517E+01  1.5000E+01  1.7763E-03
        2300  2.9485066E+00  3.1304E+01  1.5000E+01  1.7643E-03
        2319  3.0000000E+00  3.1224E+01  1.5000E+01  1.7598E-03
