   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  1005.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 2.0011288E-01 2.0182496E+05 6.9584E+02 2.490E-03 5.871E+02 3.142E-03 4.483E+02
 2.0156056E-01 2.0321555E+05 6.9928E+02 2.459E-03 5.914E+02 3.108E-03 4.465E+02
 2.0744056E-01 2.0886360E+05 7.1333E+02 2.480E-03 6.091E+02 3.115E-03 4.600E+02
 2.2435896E-01 2.2511466E+05 7.5331E+02 2.420E-03 6.592E+02 3.022E-03 4.809E+02
 2.4514801E-01 2.4508369E+05 8.0100E+02 2.344E-03 7.185E+02 2.901E-03 5.026E+02
 2.6756227E-01 2.6661381E+05 8.5070E+02 2.267E-03 7.797E+02 2.782E-03 5.244E+02
 2.9148718E-01 2.8959500E+05 9.0206E+02 2.200E-03 8.425E+02 2.680E-03 5.487E+02
 3.1690622E-01 3.1401139E+05 9.5511E+02 2.144E-03 9.069E+02 2.596E-03 5.763E+02
 3.4372697E-01 3.3977419E+05 1.0098E+03 2.097E-03 9.729E+02 2.527E-03 6.071E+02
 3.7186220E-01 3.6679963E+05 1.0659E+03 2.059E-03 1.040E+03 2.471E-03 6.408E+02
 4.0147726E-01 3.9524652E+05 1.1241E+03 2.026E-03 1.110E+03 2.423E-03 6.772E+02
 4.3253006E-01 4.2507444E+05 1.1841E+03 1.998E-03 1.182E+03 2.382E-03 7.160E+02
 4.6499252E-01 4.5625642E+05 1.2460E+03 1.973E-03 1.256E+03 2.347E-03 7.570E+02
 4.9886059E-01 4.8878856E+05 1.3099E+03 1.951E-03 1.331E+03 2.315E-03 8.000E+02
 5.3415326E-01 5.2268911E+05 1.3757E+03 1.930E-03 1.409E+03 2.286E-03 8.449E+02
 5.7091057E-01 5.5799653E+05 1.4435E+03 1.911E-03 1.490E+03 2.260E-03 8.916E+02
 6.0919393E-01 5.9476980E+05 1.5135E+03 1.894E-03 1.572E+03 2.236E-03 9.401E+02
 6.4910818E-01 6.3310963E+05 1.5858E+03 1.877E-03 1.658E+03 2.213E-03 9.905E+02
 6.9071860E-01 6.7307872E+05 1.6606E+03 1.861E-03 1.746E+03 2.191E-03 1.043E+03
 7.3407971E-01 7.1472945E+05 1.7378E+03 1.846E-03 1.837E+03 2.171E-03 1.097E+03
 7.7929629E-01 7.5816246E+05 1.8177E+03 1.831E-03 1.930E+03 2.151E-03 1.153E+03
 8.2649026E-01 8.0349486E+05 1.9004E+03 1.817E-03 2.028E+03 2.132E-03 1.211E+03
 8.7576227E-01 8.5082333E+05 1.9861E+03 1.803E-03 2.128E+03 2.113E-03 1.271E+03
 9.2720988E-01 9.0024159E+05 2.0748E+03 1.789E-03 2.232E+03 2.096E-03 1.334E+03
 9.8092571E-01 9.5183859E+05 2.1668E+03 1.776E-03 2.340E+03 2.078E-03 1.398E+03
 1.0369963E+00 1.0056975E+06 2.2621E+03 1.763E-03 2.451E+03 2.061E-03 1.465E+03
 1.0955015E+00 1.0618950E+06 2.3609E+03 1.749E-03 2.567E+03 2.044E-03 1.535E+03
 1.1565148E+00 1.1205016E+06 2.4630E+03 1.737E-03 2.686E+03 2.028E-03 1.607E+03
 1.2201036E+00 1.1815821E+06 2.5688E+03 1.724E-03 2.809E+03 2.012E-03 1.681E+03
 1.2863305E+00 1.2451967E+06 2.6781E+03 1.712E-03 2.937E+03 1.996E-03 1.757E+03
 1.3552545E+00 1.3114019E+06 2.7910E+03 1.699E-03 3.069E+03 1.981E-03 1.836E+03
 1.4269378E+00 1.3802577E+06 2.9076E+03 1.687E-03 3.204E+03 1.966E-03 1.918E+03
 1.5017600E+00 1.4521286E+06 3.0285E+03 1.675E-03 3.345E+03 1.951E-03 2.003E+03
 1.5799689E+00 1.5272525E+06 3.1539E+03 1.663E-03 3.491E+03 1.936E-03 2.090E+03
 1.6616205E+00 1.6056833E+06 3.2840E+03 1.652E-03 3.643E+03 1.922E-03 2.181E+03
 1.7467668E+00 1.6874711E+06 3.4186E+03 1.640E-03 3.799E+03 1.907E-03 2.275E+03
 1.8354577E+00 1.7726635E+06 3.5579E+03 1.629E-03 3.961E+03 1.893E-03 2.373E+03
 1.9277426E+00 1.8613082E+06 3.7018E+03 1.617E-03 4.128E+03 1.879E-03 2.473E+03
 2.0236724E+00 1.9534541E+06 3.8503E+03 1.606E-03 4.301E+03 1.866E-03 2.577E+03
 2.1233252E+00 2.0491761E+06 4.0036E+03 1.595E-03 4.479E+03 1.853E-03 2.684E+03
 2.2272859E+00 2.1490360E+06 4.1624E+03 1.584E-03 4.663E+03 1.839E-03 2.795E+03
 2.3358142E+00 2.2532834E+06 4.3270E+03 1.574E-03 4.854E+03 1.826E-03 2.910E+03
 2.4489510E+00 2.3619575E+06 4.4975E+03 1.563E-03 5.052E+03 1.814E-03 3.028E+03
 2.5667394E+00 2.4750998E+06 4.6738E+03 1.553E-03 5.257E+03 1.801E-03 3.151E+03
 2.6892261E+00 2.5927550E+06 4.8559E+03 1.542E-03 5.468E+03 1.789E-03 3.278E+03
 2.8164627E+00 2.7149727E+06 5.0438E+03 1.532E-03 5.686E+03 1.776E-03 3.410E+03
 2.9485066E+00 2.8418082E+06 5.2375E+03 1.522E-03 5.910E+03 1.764E-03 3.545E+03
 3.0000000E+00 2.8912704E+06 5.3127E+03 1.518E-03 5.998E+03 1.760E-03 3.597E+03
