   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   x/s            yl        uinf      del2      h12       del3
    2.0011288E-01 6.371E-03 1.500E+01 7.244E-04 1.469E+00 6.112E-04
    2.0156056E-01 6.690E-03 1.500E+01 7.280E-04 1.464E+00 6.157E-04
    2.0744056E-01 7.191E-03 1.500E+01 7.426E-04 1.454E+00 6.341E-04
    2.2435896E-01 7.955E-03 1.500E+01 7.842E-04 1.440E+00 6.863E-04
    2.4514801E-01 8.673E-03 1.500E+01 8.339E-04 1.432E+00 7.480E-04
    2.6756227E-01 9.302E-03 1.500E+01 8.856E-04 1.427E+00 8.117E-04
    2.9148718E-01 9.860E-03 1.500E+01 9.391E-04 1.423E+00 8.771E-04
    3.1690622E-01 1.047E-02 1.500E+01 9.943E-04 1.421E+00 9.441E-04
    3.4372697E-01 1.098E-02 1.500E+01 1.051E-03 1.418E+00 1.013E-03
    3.7186220E-01 1.156E-02 1.500E+01 1.110E-03 1.415E+00 1.083E-03
    4.0147726E-01 1.214E-02 1.500E+01 1.170E-03 1.413E+00 1.156E-03
    4.3253006E-01 1.271E-02 1.500E+01 1.233E-03 1.410E+00 1.230E-03
    4.6499252E-01 1.327E-02 1.500E+01 1.297E-03 1.407E+00 1.307E-03
    4.9886059E-01 1.384E-02 1.500E+01 1.364E-03 1.404E+00 1.386E-03
    5.3415326E-01 1.441E-02 1.500E+01 1.432E-03 1.400E+00 1.467E-03
    5.7091057E-01 1.501E-02 1.500E+01 1.503E-03 1.397E+00 1.551E-03
    6.0919393E-01 1.564E-02 1.500E+01 1.576E-03 1.393E+00 1.637E-03
    6.4910818E-01 1.631E-02 1.500E+01 1.651E-03 1.390E+00 1.726E-03
    6.9071860E-01 1.700E-02 1.500E+01 1.729E-03 1.387E+00 1.817E-03
    7.3407971E-01 1.771E-02 1.500E+01 1.809E-03 1.383E+00 1.912E-03
    7.7929629E-01 1.848E-02 1.500E+01 1.892E-03 1.380E+00 2.010E-03
    8.2649026E-01 1.929E-02 1.500E+01 1.978E-03 1.376E+00 2.111E-03
    8.7576227E-01 2.015E-02 1.500E+01 2.068E-03 1.373E+00 2.215E-03
    9.2720988E-01 2.104E-02 1.500E+01 2.160E-03 1.370E+00 2.324E-03
    9.8092571E-01 2.196E-02 1.500E+01 2.256E-03 1.366E+00 2.436E-03
    1.0369963E+00 2.292E-02 1.500E+01 2.355E-03 1.363E+00 2.552E-03
    1.0955015E+00 2.391E-02 1.500E+01 2.458E-03 1.360E+00 2.672E-03
    1.1565148E+00 2.493E-02 1.500E+01 2.564E-03 1.357E+00 2.796E-03
    1.2201036E+00 2.597E-02 1.500E+01 2.674E-03 1.354E+00 2.925E-03
    1.2863305E+00 2.704E-02 1.500E+01 2.788E-03 1.351E+00 3.057E-03
    1.3552545E+00 2.813E-02 1.500E+01 2.906E-03 1.348E+00 3.195E-03
    1.4269378E+00 2.927E-02 1.500E+01 3.027E-03 1.345E+00 3.336E-03
    1.5017600E+00 3.062E-02 1.500E+01 3.153E-03 1.343E+00 3.483E-03
    1.5799689E+00 3.198E-02 1.500E+01 3.283E-03 1.340E+00 3.635E-03
    1.6616205E+00 3.337E-02 1.500E+01 3.419E-03 1.337E+00 3.792E-03
    1.7467668E+00 3.478E-02 1.500E+01 3.559E-03 1.335E+00 3.955E-03
    1.8354577E+00 3.621E-02 1.500E+01 3.704E-03 1.332E+00 4.124E-03
    1.9277426E+00 3.765E-02 1.500E+01 3.854E-03 1.330E+00 4.298E-03
    2.0236724E+00 3.912E-02 1.500E+01 4.008E-03 1.328E+00 4.478E-03
    2.1233252E+00 4.069E-02 1.500E+01 4.168E-03 1.326E+00 4.663E-03
    2.2272859E+00 4.251E-02 1.500E+01 4.333E-03 1.323E+00 4.855E-03
    2.3358142E+00 4.435E-02 1.500E+01 4.505E-03 1.321E+00 5.054E-03
    2.4489510E+00 4.620E-02 1.500E+01 4.682E-03 1.319E+00 5.260E-03
    2.5667394E+00 4.807E-02 1.500E+01 4.866E-03 1.317E+00 5.473E-03
    2.6892261E+00 4.996E-02 1.500E+01 5.055E-03 1.315E+00 5.692E-03
    2.8164627E+00 5.187E-02 1.500E+01 5.251E-03 1.313E+00 5.919E-03
    2.9485066E+00 5.381E-02 1.500E+01 5.453E-03 1.312E+00 6.153E-03
    3.0000000E+00 5.458E-02 1.500E+01 5.531E-03 1.311E+00 6.244E-03
