   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  1005.00 htc based on (ts-tinf)
        intg  x/s            htc         uinf        st
           5  2.0011240E-01  5.4962E+01  1.5000E+01  3.0976E-03
          50  2.0129040E-01  5.0336E+01  1.5000E+01  2.8369E-03
         100  2.0567160E-01  4.8817E+01  1.5000E+01  2.7513E-03
         150  2.2085004E-01  5.4236E+01  1.5000E+01  3.0567E-03
         200  2.4441942E-01  5.6761E+01  1.5000E+01  3.1990E-03
         250  2.6960579E-01  5.4736E+01  1.5000E+01  3.0849E-03
         300  2.9634761E-01  5.2470E+01  1.5000E+01  2.9572E-03
         350  3.2464491E-01  5.0596E+01  1.5000E+01  2.8516E-03
         400  3.5446709E-01  4.9086E+01  1.5000E+01  2.7665E-03
         450  3.8578381E-01  4.7844E+01  1.5000E+01  2.6965E-03
         500  4.1876898E-01  4.6789E+01  1.5000E+01  2.6370E-03
         550  4.5338830E-01  4.5872E+01  1.5000E+01  2.5853E-03
         600  4.8963214E-01  4.5060E+01  1.5000E+01  2.5395E-03
         650  5.2751538E-01  4.4329E+01  1.5000E+01  2.4983E-03
         700  5.6707416E-01  4.3663E+01  1.5000E+01  2.4608E-03
         750  6.0836286E-01  4.3049E+01  1.5000E+01  2.4262E-03
         800  6.5145124E-01  4.2479E+01  1.5000E+01  2.3941E-03
         850  6.9642163E-01  4.1946E+01  1.5000E+01  2.3641E-03
         900  7.4336606E-01  4.1445E+01  1.5000E+01  2.3358E-03
         950  7.9238343E-01  4.0970E+01  1.5000E+01  2.3091E-03
        1000  8.4357667E-01  4.0519E+01  1.5000E+01  2.2836E-03
        1050  8.9704994E-01  4.0089E+01  1.5000E+01  2.2594E-03
        1100  9.5290610E-01  3.9677E+01  1.5000E+01  2.2362E-03
        1150  1.0112444E+00  3.9282E+01  1.5000E+01  2.2139E-03
        1200  1.0721589E+00  3.8910E+01  1.5000E+01  2.1929E-03
        1250  1.1357371E+00  3.8535E+01  1.5000E+01  2.1718E-03
        1300  1.2020596E+00  3.8181E+01  1.5000E+01  2.1519E-03
        1350  1.2712003E+00  3.7839E+01  1.5000E+01  2.1326E-03
        1400  1.3432270E+00  3.7507E+01  1.5000E+01  2.1139E-03
        1450  1.4182029E+00  3.7185E+01  1.5000E+01  2.0957E-03
        1500  1.4963183E+00  3.6872E+01  1.5000E+01  2.0781E-03
        1550  1.5780403E+00  3.6566E+01  1.5000E+01  2.0608E-03
        1600  1.6634660E+00  3.6267E+01  1.5000E+01  2.0440E-03
        1650  1.7526555E+00  3.5974E+01  1.5000E+01  2.0275E-03
        1700  1.8456628E+00  3.5688E+01  1.5000E+01  2.0114E-03
        1750  1.9425383E+00  3.5409E+01  1.5000E+01  1.9956E-03
        1800  2.0433318E+00  3.5136E+01  1.5000E+01  1.9802E-03
        1850  2.1481312E+00  3.4869E+01  1.5000E+01  1.9652E-03
        1900  2.2576022E+00  3.4607E+01  1.5000E+01  1.9504E-03
        1950  2.3720039E+00  3.4349E+01  1.5000E+01  1.9359E-03
        2000  2.4913708E+00  3.4095E+01  1.5000E+01  1.9216E-03
        2050  2.6157388E+00  3.3846E+01  1.5000E+01  1.9075E-03
        2100  2.7451475E+00  3.3602E+01  1.5000E+01  1.8938E-03
        2150  2.8796431E+00  3.3362E+01  1.5000E+01  1.8803E-03
        2193  3.0000000E+00  3.3158E+01  1.5000E+01  1.8688E-03
