   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  1005.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 2.0011240E-01 2.0182451E+05 6.9583E+02 2.447E-03 5.871E+02 3.098E-03 4.420E+02
 2.0129040E-01 2.0295604E+05 6.9844E+02 2.193E-03 5.904E+02 2.837E-03 4.071E+02
 2.0567160E-01 2.0716443E+05 7.0737E+02 2.098E-03 6.021E+02 2.751E-03 4.030E+02
 2.2085004E-01 2.2174415E+05 7.3983E+02 2.337E-03 6.446E+02 3.057E-03 4.792E+02
 2.4441942E-01 2.4438384E+05 7.9519E+02 2.478E-03 7.166E+02 3.199E-03 5.527E+02
 2.6960579E-01 2.6857673E+05 8.5467E+02 2.421E-03 7.928E+02 3.085E-03 5.858E+02
 2.9634761E-01 2.9426372E+05 9.1594E+02 2.345E-03 8.704E+02 2.957E-03 6.152E+02
 3.2464491E-01 3.2144482E+05 9.7882E+02 2.279E-03 9.494E+02 2.852E-03 6.481E+02
 3.5446709E-01 3.5009067E+05 1.0434E+03 2.225E-03 1.030E+03 2.766E-03 6.847E+02
 3.8578381E-01 3.8017210E+05 1.1096E+03 2.180E-03 1.112E+03 2.696E-03 7.248E+02
 4.1876898E-01 4.1185616E+05 1.1781E+03 2.140E-03 1.197E+03 2.637E-03 7.678E+02
 4.5338830E-01 4.4510993E+05 1.2487E+03 2.106E-03 1.283E+03 2.585E-03 8.136E+02
 4.8963214E-01 4.7992413E+05 1.3215E+03 2.075E-03 1.373E+03 2.540E-03 8.617E+02
 5.2751538E-01 5.1631306E+05 1.3965E+03 2.046E-03 1.464E+03 2.498E-03 9.120E+02
 5.6707416E-01 5.5431144E+05 1.4738E+03 2.020E-03 1.559E+03 2.461E-03 9.644E+02
 6.0836286E-01 5.9397150E+05 1.5535E+03 1.996E-03 1.656E+03 2.426E-03 1.019E+03
 6.5145124E-01 6.3536026E+05 1.6357E+03 1.973E-03 1.755E+03 2.394E-03 1.075E+03
 6.9642163E-01 6.7855679E+05 1.7205E+03 1.952E-03 1.858E+03 2.364E-03 1.134E+03
 7.4336606E-01 7.2364950E+05 1.8080E+03 1.931E-03 1.964E+03 2.336E-03 1.195E+03
 7.9238343E-01 7.7073338E+05 1.8985E+03 1.912E-03 2.073E+03 2.309E-03 1.258E+03
 8.4357667E-01 8.1990730E+05 1.9921E+03 1.893E-03 2.186E+03 2.284E-03 1.324E+03
 8.9704994E-01 8.7127131E+05 2.0889E+03 1.876E-03 2.303E+03 2.259E-03 1.392E+03
 9.5290610E-01 9.2492422E+05 2.1891E+03 1.858E-03 2.424E+03 2.236E-03 1.462E+03
 1.0112444E+00 9.8096140E+05 2.2929E+03 1.842E-03 2.548E+03 2.214E-03 1.535E+03
 1.0721589E+00 1.0394731E+06 2.4002E+03 1.826E-03 2.677E+03 2.193E-03 1.612E+03
 1.1357371E+00 1.1005435E+06 2.5112E+03 1.810E-03 2.811E+03 2.172E-03 1.690E+03
 1.2020596E+00 1.1642499E+06 2.6261E+03 1.795E-03 2.948E+03 2.152E-03 1.771E+03
 1.2712003E+00 1.2306633E+06 2.7449E+03 1.780E-03 3.091E+03 2.133E-03 1.856E+03
 1.3432270E+00 1.2998489E+06 2.8676E+03 1.766E-03 3.238E+03 2.114E-03 1.943E+03
 1.4182029E+00 1.3718674E+06 2.9943E+03 1.752E-03 3.389E+03 2.096E-03 2.033E+03
 1.4963183E+00 1.4469015E+06 3.1253E+03 1.739E-03 3.546E+03 2.078E-03 2.126E+03
 1.5780403E+00 1.5254000E+06 3.2613E+03 1.725E-03 3.708E+03 2.061E-03 2.223E+03
 1.6634660E+00 1.6074560E+06 3.4023E+03 1.712E-03 3.877E+03 2.044E-03 2.323E+03
 1.7526555E+00 1.6931275E+06 3.5485E+03 1.699E-03 4.051E+03 2.027E-03 2.427E+03
 1.8456628E+00 1.7824661E+06 3.6997E+03 1.687E-03 4.232E+03 2.011E-03 2.535E+03
 1.9425383E+00 1.8755203E+06 3.8561E+03 1.674E-03 4.418E+03 1.996E-03 2.646E+03
 2.0433318E+00 1.9723380E+06 4.0177E+03 1.662E-03 4.611E+03 1.980E-03 2.761E+03
 2.1481312E+00 2.0730036E+06 4.1844E+03 1.650E-03 4.809E+03 1.965E-03 2.880E+03
 2.2576022E+00 2.1781565E+06 4.3573E+03 1.638E-03 5.015E+03 1.950E-03 3.004E+03
 2.3720039E+00 2.2880456E+06 4.5368E+03 1.627E-03 5.229E+03 1.936E-03 3.132E+03
 2.4913708E+00 2.4027041E+06 4.7227E+03 1.615E-03 5.450E+03 1.922E-03 3.264E+03
 2.6157388E+00 2.5221664E+06 4.9150E+03 1.604E-03 5.679E+03 1.908E-03 3.401E+03
 2.7451475E+00 2.6464706E+06 5.1138E+03 1.593E-03 5.915E+03 1.894E-03 3.543E+03
 2.8796431E+00 2.7756610E+06 5.3189E+03 1.582E-03 6.159E+03 1.880E-03 3.690E+03
 3.0000000E+00 2.8912704E+06 5.5014E+03 1.573E-03 6.376E+03 1.869E-03 3.820E+03
