   s10.dat, lam, Blasius, Ts(x)                                            
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  4180.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 3.5702186E-02 6.6905315E+05 5.4332E+02 4.059E-04 1.883E+02 1.411E-04 4.721E+02
 3.6782450E-02 6.8929712E+05 5.5148E+02 3.999E-04 1.912E+02 1.390E-04 4.792E+02
 3.7878816E-02 7.0984283E+05 5.5963E+02 3.941E-04 1.940E+02 1.370E-04 4.863E+02
 3.8991283E-02 7.3069027E+05 5.6779E+02 3.884E-04 1.968E+02 1.350E-04 4.933E+02
 4.0119851E-02 7.5183946E+05 5.7595E+02 3.829E-04 1.997E+02 1.331E-04 5.004E+02
 4.1264520E-02 7.7329038E+05 5.8411E+02 3.776E-04 2.025E+02 1.313E-04 5.075E+02
 4.2425291E-02 7.9504304E+05 5.9227E+02 3.724E-04 2.053E+02 1.294E-04 5.146E+02
 4.3602163E-02 8.1709743E+05 6.0042E+02 3.673E-04 2.082E+02 1.277E-04 5.217E+02
 4.4795137E-02 8.3945356E+05 6.0858E+02 3.624E-04 2.110E+02 1.260E-04 5.287E+02
 4.6004212E-02 8.6211143E+05 6.1674E+02 3.576E-04 2.139E+02 1.243E-04 5.358E+02
 4.7229388E-02 8.8507104E+05 6.2490E+02 3.529E-04 2.167E+02 1.227E-04 5.429E+02
 4.8470666E-02 9.0833238E+05 6.3305E+02 3.484E-04 2.195E+02 1.211E-04 5.500E+02
 4.9728045E-02 9.3189546E+05 6.4121E+02 3.440E-04 2.224E+02 1.196E-04 5.571E+02
 5.0994629E-02 9.5563102E+05 6.4933E+02 3.397E-04 2.252E+02 1.181E-04 5.641E+02
 5.2284124E-02 9.7979595E+05 6.5748E+02 3.355E-04 2.280E+02 1.166E-04 5.712E+02
 5.3589720E-02 1.0042626E+06 6.6564E+02 3.313E-04 2.309E+02 1.152E-04 5.783E+02
 5.4911418E-02 1.0290310E+06 6.7380E+02 3.273E-04 2.337E+02 1.138E-04 5.854E+02
 5.6249218E-02 1.0541012E+06 6.8196E+02 3.234E-04 2.365E+02 1.124E-04 5.924E+02
 5.7603119E-02 1.0794730E+06 6.9012E+02 3.196E-04 2.394E+02 1.111E-04 5.995E+02
 5.8973121E-02 1.1051467E+06 6.9827E+02 3.159E-04 2.422E+02 1.098E-04 6.066E+02
 6.0359224E-02 1.1311220E+06 7.0643E+02 3.122E-04 2.450E+02 1.085E-04 6.137E+02
 6.1761429E-02 1.1573991E+06 7.1459E+02 3.086E-04 2.479E+02 1.073E-04 6.208E+02
 6.3179735E-02 1.1839779E+06 7.2275E+02 3.052E-04 2.507E+02 1.061E-04 6.278E+02
 6.4614143E-02 1.2108585E+06 7.3090E+02 3.018E-04 2.535E+02 1.049E-04 6.349E+02
 6.6064652E-02 1.2380408E+06 7.3906E+02 2.984E-04 2.564E+02 1.037E-04 6.420E+02
 6.7531262E-02 1.2655248E+06 7.4722E+02 2.952E-04 2.592E+02 1.026E-04 6.491E+02
 6.9013974E-02 1.2933106E+06 7.5538E+02 2.920E-04 2.620E+02 1.015E-04 6.562E+02
 7.0512787E-02 1.3213981E+06 7.6354E+02 2.889E-04 2.649E+02 1.004E-04 6.632E+02
 7.2027701E-02 1.3497874E+06 7.7169E+02 2.858E-04 2.677E+02 9.932E-05 6.703E+02
 7.3558717E-02 1.3784784E+06 7.7985E+02 2.828E-04 2.705E+02 9.828E-05 6.774E+02
 7.5105835E-02 1.4074711E+06 7.8801E+02 2.799E-04 2.734E+02 9.727E-05 6.845E+02
 7.6669053E-02 1.4367656E+06 7.9617E+02 2.770E-04 2.762E+02 9.627E-05 6.916E+02
 7.8248373E-02 1.4663617E+06 8.0432E+02 2.742E-04 2.790E+02 9.529E-05 6.987E+02
 7.9843795E-02 1.4962597E+06 8.1248E+02 2.715E-04 2.819E+02 9.433E-05 7.057E+02
 8.1455317E-02 1.5264594E+06 8.2064E+02 2.688E-04 2.847E+02 9.340E-05 7.128E+02
 8.3082941E-02 1.5569608E+06 8.2880E+02 2.661E-04 2.876E+02 9.248E-05 7.199E+02
 8.4726667E-02 1.5877639E+06 8.3696E+02 2.635E-04 2.904E+02 9.157E-05 7.270E+02
 8.6386494E-02 1.6188688E+06 8.4511E+02 2.610E-04 2.932E+02 9.069E-05 7.341E+02
 8.8062422E-02 1.6502754E+06 8.5327E+02 2.585E-04 2.961E+02 8.982E-05 7.411E+02
 8.9754452E-02 1.6819838E+06 8.6143E+02 2.560E-04 2.989E+02 8.897E-05 7.482E+02
 9.1462583E-02 1.7139939E+06 8.6959E+02 2.536E-04 3.017E+02 8.813E-05 7.553E+02
 9.3186815E-02 1.7463057E+06 8.7774E+02 2.513E-04 3.046E+02 8.731E-05 7.624E+02
 9.4927149E-02 1.7789193E+06 8.8590E+02 2.490E-04 3.074E+02 8.651E-05 7.695E+02
 9.6683584E-02 1.8118346E+06 8.9406E+02 2.467E-04 3.102E+02 8.572E-05 7.766E+02
 9.8456121E-02 1.8450516E+06 9.0222E+02 2.445E-04 3.131E+02 8.494E-05 7.836E+02
 1.0025139E-01 1.8786946E+06 9.1041E+02 2.423E-04 3.159E+02 8.418E-05 7.907E+02
 1.0205619E-01 1.9125163E+06 9.1856E+02 2.401E-04 3.187E+02 8.343E-05 7.978E+02
 1.0387709E-01 1.9466396E+06 9.2672E+02 2.380E-04 3.216E+02 8.270E-05 8.049E+02
 1.0571409E-01 1.9810648E+06 9.3488E+02 2.359E-04 3.244E+02 8.197E-05 8.120E+02
 1.0756719E-01 2.0157916E+06 9.4304E+02 2.339E-04 3.273E+02 8.127E-05 8.191E+02
 1.0943639E-01 2.0508202E+06 9.5119E+02 2.319E-04 3.301E+02 8.057E-05 8.262E+02
 1.1132170E-01 2.0861505E+06 9.5935E+02 2.299E-04 3.329E+02 7.988E-05 8.332E+02
 1.1322311E-01 2.1217826E+06 9.6751E+02 2.280E-04 3.358E+02 7.921E-05 8.403E+02
 1.1514062E-01 2.1577164E+06 9.7567E+02 2.261E-04 3.386E+02 7.855E-05 8.474E+02
 1.1707423E-01 2.1939519E+06 9.8383E+02 2.242E-04 3.414E+02 7.789E-05 8.545E+02
 1.1902394E-01 2.2304892E+06 9.9198E+02 2.223E-04 3.443E+02 7.725E-05 8.616E+02
 1.2098975E-01 2.2673282E+06 1.0001E+03 2.205E-04 3.471E+02 7.662E-05 8.686E+02
 1.2297166E-01 2.3044689E+06 1.0083E+03 2.187E-04 3.499E+02 7.600E-05 8.757E+02
 1.2496968E-01 2.3419114E+06 1.0165E+03 2.170E-04 3.528E+02 7.539E-05 8.828E+02
 1.2698380E-01 2.3796556E+06 1.0246E+03 2.153E-04 3.556E+02 7.479E-05 8.899E+02
 1.2901401E-01 2.4177016E+06 1.0328E+03 2.136E-04 3.584E+02 7.420E-05 8.970E+02
 1.3106033E-01 2.4560493E+06 1.0409E+03 2.119E-04 3.613E+02 7.362E-05 9.041E+02
 1.3312275E-01 2.4946987E+06 1.0491E+03 2.102E-04 3.641E+02 7.305E-05 9.111E+02
 1.3520128E-01 2.5336499E+06 1.0572E+03 2.086E-04 3.669E+02 7.248E-05 9.182E+02
 1.3729590E-01 2.5729028E+06 1.0654E+03 2.070E-04 3.698E+02 7.193E-05 9.253E+02
 1.3940662E-01 2.6124574E+06 1.0736E+03 2.054E-04 3.726E+02 7.138E-05 9.324E+02
 1.4153345E-01 2.6523138E+06 1.0817E+03 2.039E-04 3.754E+02 7.084E-05 9.395E+02
 1.4367638E-01 2.6924719E+06 1.0899E+03 2.024E-04 3.783E+02 7.031E-05 9.465E+02
 1.4583541E-01 2.7329318E+06 1.0980E+03 2.009E-04 3.811E+02 6.979E-05 9.536E+02
 1.4801054E-01 2.7736934E+06 1.1062E+03 1.994E-04 3.839E+02 6.927E-05 9.607E+02
 1.5017588E-01 2.8142714E+06 1.1143E+03 1.979E-04 3.867E+02 6.877E-05 9.677E+02
 1.5238302E-01 2.8556329E+06 1.1224E+03 1.965E-04 3.896E+02 6.827E-05 9.748E+02
 1.5460626E-01 2.8972962E+06 1.1306E+03 1.951E-04 3.924E+02 6.778E-05 9.819E+02
 1.5684561E-01 2.9392612E+06 1.1387E+03 1.937E-04 3.952E+02 6.729E-05 9.890E+02
 1.5910106E-01 2.9815279E+06 1.1469E+03 1.923E-04 3.981E+02 6.681E-05 9.960E+02
 1.6137261E-01 3.0240964E+06 1.1550E+03 1.910E-04 4.009E+02 6.634E-05 1.003E+03
 1.6366026E-01 3.0669666E+06 1.1632E+03 1.896E-04 4.037E+02 6.588E-05 1.010E+03
 1.6596401E-01 3.1101385E+06 1.1714E+03 1.883E-04 4.066E+02 6.542E-05 1.017E+03
 1.6828386E-01 3.1536122E+06 1.1795E+03 1.870E-04 4.094E+02 6.496E-05 1.024E+03
 1.7061982E-01 3.1973876E+06 1.1877E+03 1.857E-04 4.122E+02 6.452E-05 1.031E+03
