  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 9.95710E+02  vis= 7.97000E-04  sp_ht= 4.18000E+03
     prc(je)=    5.000
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
  6100 1.415E-01 1.082E+03 2.039E-04 2.590E+00 3.754E+02  7.084E-05
  6200 1.458E-01 1.098E+03 2.009E-04 2.590E+00 3.811E+02  6.979E-05
  6300 1.502E-01 1.114E+03 1.979E-04 2.590E+00 3.867E+02  6.877E-05
  6400 1.546E-01 1.131E+03 1.951E-04 2.590E+00 3.924E+02  6.778E-05
  6500 1.591E-01 1.147E+03 1.923E-04 2.590E+00 3.981E+02  6.681E-05
  6600 1.637E-01 1.163E+03 1.896E-04 2.590E+00 4.037E+02  6.588E-05
  6700 1.683E-01 1.180E+03 1.870E-04 2.590E+00 4.094E+02  6.496E-05
  6800 1.730E-01 1.196E+03 1.844E-04 2.590E+00 4.151E+02  6.408E-05
  6900 1.777E-01 1.212E+03 1.820E-04 2.590E+00 4.208E+02  6.321E-05
  7000 1.825E-01 1.228E+03 1.795E-04 2.590E+00 4.264E+02  6.237E-05
  7100 1.874E-01 1.245E+03 1.772E-04 2.590E+00 4.321E+02  6.156E-05
  7200 1.924E-01 1.261E+03 1.749E-04 2.590E+00 4.378E+02  6.076E-05
  7300 1.974E-01 1.277E+03 1.727E-04 2.590E+00 4.434E+02  5.998E-05
  7352 2.000E-01 1.286E+03 1.715E-04 2.590E+00 4.464E+02  5.959E-05
