  ====================================================
  TEXSTAN(academic)
  s10.dat, lam, Blasius, Ts(x)                                            
  stepsize: constant, dx=  .100
  entrainment based only on mom + energy eqns;   enfra= 1.00E-06  fra=  .010
  dpdx: not-a-knot spline curve fit
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 9.95710E+02  vis= 7.97000E-04  sp_ht= 4.18000E+03
     prc(je)=    5.000
  initial profiles: kstart=  4  dyi= 5.000E-05  rate=  .0900
  laminar flow at xstart, transition not possible
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  Stanton number and htc based on (ts-tinf)
  ====================================================

  intg x         rem       cf2       h12       reh        st
     0 1.041E-03 9.277E+01 2.377E-03 2.590E+00 3.151E+01  4.144E-03

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
    61 3.567E-06 2.382E+00 4.786E-01 1.588E-01 2.759E-01  0.000E+00
    62 3.890E-06 2.597E+00 5.219E-01 1.731E-01 3.006E-01  0.000E+00
    63 4.242E-06 2.831E+00 5.691E-01 1.887E-01 3.273E-01  0.000E+00
    64 4.625E-06 3.086E+00 6.206E-01 2.057E-01 3.562E-01  0.000E+00
    65 5.043E-06 3.363E+00 6.767E-01 2.242E-01 3.875E-01  0.000E+00
    66 5.499E-06 3.665E+00 7.378E-01 2.443E-01 4.212E-01  0.000E+00
    67 5.996E-06 3.993E+00 8.045E-01 2.662E-01 4.574E-01  0.000E+00
    68 6.537E-06 4.348E+00 8.771E-01 2.899E-01 4.961E-01  0.000E+00
    69 7.127E-06 4.735E+00 9.563E-01 3.156E-01 5.373E-01  0.000E+00
    70 7.771E-06 5.153E+00 1.043E+00 3.435E-01 5.808E-01  0.000E+00
    71 8.472E-06 5.605E+00 1.137E+00 3.737E-01 6.264E-01  0.000E+00
    72 9.236E-06 6.093E+00 1.239E+00 4.062E-01 6.734E-01  0.000E+00
    73 1.007E-05 6.617E+00 1.351E+00 4.411E-01 7.214E-01  0.000E+00
    74 1.098E-05 7.178E+00 1.473E+00 4.786E-01 7.692E-01  0.000E+00
    75 1.197E-05 7.776E+00 1.606E+00 5.184E-01 8.157E-01  0.000E+00
    76 1.305E-05 8.410E+00 1.750E+00 5.606E-01 8.595E-01  0.000E+00
    77 1.422E-05 9.074E+00 1.908E+00 6.049E-01 8.989E-01  0.000E+00
    78 1.548E-05 9.748E+00 2.076E+00 6.499E-01 9.319E-01  0.000E+00
    79 1.676E-05 1.040E+01 2.248E+00 6.932E-01 9.570E-01  0.000E+00
    80 1.804E-05 1.100E+01 2.420E+00 7.336E-01 9.747E-01  0.000E+00
    81 1.932E-05 1.156E+01 2.592E+00 7.708E-01 9.866E-01  0.000E+00
    82 2.060E-05 1.207E+01 2.764E+00 8.048E-01 9.941E-01  0.000E+00
    83 2.188E-05 1.253E+01 2.936E+00 8.355E-01 9.986E-01  0.000E+00
    84 2.316E-05 1.294E+01 3.108E+00 8.628E-01 1.000E+00  0.000E+00
    85 2.445E-05 1.330E+01 3.280E+00 8.868E-01 1.000E+00  0.000E+00
    86 2.573E-05 1.362E+01 3.452E+00 9.077E-01 1.000E+00  0.000E+00
    87 2.701E-05 1.388E+01 3.624E+00 9.256E-01 1.000E+00  0.000E+00
    88 2.829E-05 1.411E+01 3.796E+00 9.408E-01 1.000E+00  0.000E+00
    89 2.957E-05 1.430E+01 3.968E+00 9.534E-01 1.000E+00  0.000E+00
    90 3.085E-05 1.446E+01 4.140E+00 9.638E-01 1.000E+00  0.000E+00
    91 3.213E-05 1.458E+01 4.311E+00 9.722E-01 1.000E+00  0.000E+00
    92 3.342E-05 1.468E+01 4.483E+00 9.789E-01 1.000E+00  0.000E+00
    93 3.470E-05 1.476E+01 4.655E+00 9.843E-01 1.000E+00  0.000E+00
    94 3.598E-05 1.483E+01 4.827E+00 9.884E-01 1.000E+00  0.000E+00
    95 3.726E-05 1.487E+01 4.999E+00 9.915E-01 1.000E+00  0.000E+00
    96 3.854E-05 1.491E+01 5.171E+00 9.939E-01 1.000E+00  0.000E+00
    97 3.982E-05 1.494E+01 5.343E+00 9.957E-01 1.000E+00  0.000E+00
    98 4.110E-05 1.495E+01 5.515E+00 9.970E-01 1.000E+00  0.000E+00
    99 4.239E-05 1.497E+01 5.687E+00 9.979E-01 1.000E+00  0.000E+00
   100 4.367E-05 1.498E+01 5.859E+00 9.986E-01 1.000E+00  0.000E+00
   101 4.495E-05 1.499E+01 6.031E+00 9.990E-01 1.000E+00  0.000E+00
   102 4.623E-05 1.499E+01 6.203E+00 9.994E-01 1.000E+00  0.000E+00
   103 4.751E-05 1.499E+01 6.375E+00 9.996E-01 1.000E+00  0.000E+00
   104 4.879E-05 1.500E+01 6.547E+00 9.997E-01 1.000E+00  0.000E+00
   105 5.007E-05 1.500E+01 6.719E+00 9.998E-01 1.000E+00  0.000E+00
   106 5.136E-05 1.500E+01 6.890E+00 9.999E-01 1.000E+00  0.000E+00
   107 5.264E-05 1.500E+01 7.062E+00 9.999E-01 1.000E+00  0.000E+00
   108 5.392E-05 1.500E+01 7.234E+00 1.000E+00 1.000E+00  0.000E+00
   109 5.520E-05 1.500E+01 7.406E+00 1.000E+00 1.000E+00  0.000E+00
   110 5.648E-05 1.500E+01 7.578E+00 1.000E+00 1.000E+00  0.000E+00
   111 5.776E-05 1.500E+01 7.750E+00 1.000E+00 1.000E+00  0.000E+00
   112 5.904E-05 1.500E+01 7.922E+00 1.000E+00 1.000E+00  0.000E+00
   113 6.033E-05 1.500E+01 8.094E+00 1.000E+00 1.000E+00  0.000E+00
   114 6.161E-05 1.500E+01 8.266E+00 1.000E+00 1.000E+00  0.000E+00
   115 6.289E-05 1.500E+01 8.438E+00 1.000E+00 1.000E+00  0.000E+00
   116 6.417E-05 1.500E+01 8.610E+00 1.000E+00 1.000E+00  0.000E+00
   117 6.545E-05 1.500E+01 8.782E+00 1.000E+00 1.000E+00  0.000E+00
   118 6.673E-05 1.500E+01 8.954E+00 1.000E+00 1.000E+00  0.000E+00
   119 6.802E-05 1.500E+01 9.126E+00 1.000E+00 1.000E+00  0.000E+00
   120 6.930E-05 1.500E+01 9.298E+00 1.000E+00 1.000E+00  0.000E+00
   121 7.058E-05 1.500E+01 9.469E+00 1.000E+00 1.000E+00  0.000E+00
   122 7.186E-05 1.500E+01 9.641E+00 1.000E+00 1.000E+00  0.000E+00
   123 7.314E-05 1.500E+01 9.813E+00 1.000E+00 1.000E+00  0.000E+00
   124 7.442E-05 1.500E+01 9.985E+00 1.000E+00 1.000E+00  0.000E+00
   125 7.570E-05 1.500E+01 1.016E+01 1.000E+00 1.000E+00  0.000E+00
   126 7.699E-05 1.500E+01 1.033E+01 1.000E+00 1.000E+00  0.000E+00
   127 7.859E-05 1.500E+01 1.054E+01 1.000E+00 1.000E+00  0.000E+00
   128 7.955E-05 1.500E+01 1.067E+01 1.000E+00 1.000E+00  0.000E+00

  intg x         rem       cf2       h12       reh        st
  3411 5.000E-02 6.430E+02 3.430E-04 2.590E+00 2.230E+02  1.192E-04

    i  y(i)      u(i)      eta       f(eta)    g(eta)    c(eta)       
     1 0.000E+00 0.000E+00 0.000E+00 0.000E+00 0.000E+00  0.000E+00
     2 8.499E-09 8.195E-04 1.645E-04 5.464E-05 9.495E-05  0.000E+00
     3 2.326E-08 2.243E-03 4.504E-04 1.496E-04 2.599E-04  0.000E+00
     4 3.636E-08 3.506E-03 7.039E-04 2.337E-04 4.062E-04  0.000E+00
     5 5.064E-08 4.883E-03 9.803E-04 3.255E-04 5.657E-04  0.000E+00
     6 6.619E-08 6.383E-03 1.282E-03 4.255E-04 7.395E-04  0.000E+00
     7 8.315E-08 8.018E-03 1.610E-03 5.345E-04 9.290E-04  0.000E+00
     8 1.016E-07 9.801E-03 1.968E-03 6.534E-04 1.136E-03  0.000E+00
     9 1.218E-07 1.174E-02 2.358E-03 7.829E-04 1.361E-03  0.000E+00
    10 1.438E-07 1.386E-02 2.783E-03 9.241E-04 1.606E-03  0.000E+00
    11 1.677E-07 1.617E-02 3.247E-03 1.078E-03 1.873E-03  0.000E+00
    12 1.938E-07 1.869E-02 3.752E-03 1.246E-03 2.165E-03  0.000E+00
    13 2.222E-07 2.143E-02 4.302E-03 1.429E-03 2.483E-03  0.000E+00
    14 2.532E-07 2.442E-02 4.903E-03 1.628E-03 2.829E-03  0.000E+00
    15 2.870E-07 2.768E-02 5.557E-03 1.845E-03 3.207E-03  0.000E+00
    16 3.239E-07 3.123E-02 6.270E-03 2.082E-03 3.618E-03  0.000E+00
    17 3.640E-07 3.510E-02 7.047E-03 2.340E-03 4.067E-03  0.000E+00
    18 4.078E-07 3.932E-02 7.894E-03 2.621E-03 4.556E-03  0.000E+00
    19 4.555E-07 4.392E-02 8.818E-03 2.928E-03 5.089E-03  0.000E+00
    20 5.075E-07 4.893E-02 9.825E-03 3.262E-03 5.669E-03  0.000E+00
    21 5.642E-07 5.440E-02 1.092E-02 3.627E-03 6.303E-03  0.000E+00
    22 6.259E-07 6.036E-02 1.212E-02 4.024E-03 6.993E-03  0.000E+00
