   s10.dat, lam, Blasius, Ts(x)                                            
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  4180.00 htc based on (ts-tinf)
        intg  x/s            htc         uinf        st
        4200  7.2027701E-02  6.2009E+03  1.5000E+01  9.9324E-05
        4250  7.3558717E-02  6.1360E+03  1.5000E+01  9.8284E-05
        4300  7.5105835E-02  6.0724E+03  1.5000E+01  9.7266E-05
        4350  7.6669053E-02  6.0101E+03  1.5000E+01  9.6268E-05
        4400  7.8248373E-02  5.9491E+03  1.5000E+01  9.5291E-05
        4450  7.9843795E-02  5.8893E+03  1.5000E+01  9.4334E-05
        4500  8.1455317E-02  5.8307E+03  1.5000E+01  9.3395E-05
        4550  8.3082941E-02  5.7733E+03  1.5000E+01  9.2475E-05
        4600  8.4726667E-02  5.7170E+03  1.5000E+01  9.1573E-05
        4650  8.6386494E-02  5.6618E+03  1.5000E+01  9.0688E-05
        4700  8.8062422E-02  5.6076E+03  1.5000E+01  8.9821E-05
        4750  8.9754452E-02  5.5545E+03  1.5000E+01  8.8970E-05
        4800  9.1462583E-02  5.5023E+03  1.5000E+01  8.8134E-05
        4850  9.3186815E-02  5.4511E+03  1.5000E+01  8.7315E-05
        4900  9.4927149E-02  5.4009E+03  1.5000E+01  8.6510E-05
        4950  9.6683584E-02  5.3516E+03  1.5000E+01  8.5720E-05
        5000  9.8456121E-02  5.3032E+03  1.5000E+01  8.4944E-05
        5050  1.0025139E-01  5.2554E+03  1.5000E+01  8.4180E-05
        5100  1.0205619E-01  5.2087E+03  1.5000E+01  8.3432E-05
        5150  1.0387709E-01  5.1629E+03  1.5000E+01  8.2697E-05
        5200  1.0571409E-01  5.1178E+03  1.5000E+01  8.1975E-05
        5250  1.0756719E-01  5.0735E+03  1.5000E+01  8.1265E-05
        5300  1.0943639E-01  5.0299E+03  1.5000E+01  8.0568E-05
        5350  1.1132170E-01  4.9871E+03  1.5000E+01  7.9882E-05
        5400  1.1322311E-01  4.9451E+03  1.5000E+01  7.9208E-05
        5450  1.1514062E-01  4.9037E+03  1.5000E+01  7.8546E-05
        5500  1.1707423E-01  4.8630E+03  1.5000E+01  7.7894E-05
        5550  1.1902394E-01  4.8230E+03  1.5000E+01  7.7253E-05
        5600  1.2098975E-01  4.7836E+03  1.5000E+01  7.6623E-05
        5650  1.2297166E-01  4.7449E+03  1.5000E+01  7.6002E-05
        5700  1.2496968E-01  4.7068E+03  1.5000E+01  7.5392E-05
        5750  1.2698380E-01  4.6693E+03  1.5000E+01  7.4791E-05
        5800  1.2901401E-01  4.6324E+03  1.5000E+01  7.4200E-05
        5850  1.3106033E-01  4.5961E+03  1.5000E+01  7.3618E-05
        5900  1.3312275E-01  4.5603E+03  1.5000E+01  7.3046E-05
        5950  1.3520128E-01  4.5251E+03  1.5000E+01  7.2482E-05
        6000  1.3729590E-01  4.4904E+03  1.5000E+01  7.1926E-05
        6050  1.3940662E-01  4.4563E+03  1.5000E+01  7.1380E-05
        6100  1.4153345E-01  4.4227E+03  1.5000E+01  7.0841E-05
        6150  1.4367638E-01  4.3896E+03  1.5000E+01  7.0310E-05
        6200  1.4583541E-01  4.3569E+03  1.5000E+01  6.9788E-05
        6250  1.4801054E-01  4.3248E+03  1.5000E+01  6.9273E-05
        6300  1.5017588E-01  4.2935E+03  1.5000E+01  6.8771E-05
        6350  1.5238302E-01  4.2622E+03  1.5000E+01  6.8271E-05
        6400  1.5460626E-01  4.2315E+03  1.5000E+01  6.7778E-05
        6450  1.5684561E-01  4.2011E+03  1.5000E+01  6.7293E-05
        6500  1.5910106E-01  4.1713E+03  1.5000E+01  6.6814E-05
        6550  1.6137261E-01  4.1418E+03  1.5000E+01  6.6342E-05
        6600  1.6366026E-01  4.1127E+03  1.5000E+01  6.5876E-05
        6650  1.6596401E-01  4.0841E+03  1.5000E+01  6.5417E-05
        6700  1.6828386E-01  4.0558E+03  1.5000E+01  6.4965E-05
        6750  1.7061982E-01  4.0279E+03  1.5000E+01  6.4518E-05
        6800  1.7297188E-01  4.0004E+03  1.5000E+01  6.4078E-05
        6850  1.7534003E-01  3.9733E+03  1.5000E+01  6.3643E-05
        6900  1.7772429E-01  3.9466E+03  1.5000E+01  6.3215E-05
        6950  1.8012465E-01  3.9202E+03  1.5000E+01  6.2792E-05
        7000  1.8254111E-01  3.8941E+03  1.5000E+01  6.2375E-05
        7050  1.8497368E-01  3.8684E+03  1.5000E+01  6.1963E-05
        7100  1.8742234E-01  3.8431E+03  1.5000E+01  6.1557E-05
        7150  1.8988711E-01  3.8180E+03  1.5000E+01  6.1156E-05
        7200  1.9236797E-01  3.7933E+03  1.5000E+01  6.0760E-05
        7250  1.9486494E-01  3.7689E+03  1.5000E+01  6.0370E-05
        7300  1.9737801E-01  3.7449E+03  1.5000E+01  5.9984E-05
        7350  1.9990718E-01  3.7211E+03  1.5000E+01  5.9603E-05
        7352  2.0000000E-01  3.7202E+03  1.5000E+01  5.9589E-05
