   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   x/s            yl        uinf      del2      h12       del3
    2.0009264E-01 6.670E-03 1.500E+01 7.244E-04 1.465E+00 6.111E-04
    2.0179984E-01 8.000E-03 1.500E+01 7.285E-04 1.455E+00 6.164E-04
    2.0791465E-01 8.995E-03 1.500E+01 7.434E-04 1.433E+00 6.356E-04
    2.2565424E-01 9.910E-03 1.500E+01 7.879E-04 1.394E+00 6.929E-04
    2.5144990E-01 1.069E-02 1.500E+01 8.528E-04 1.379E+00 7.757E-04
    2.7899426E-01 1.136E-02 1.500E+01 9.179E-04 1.377E+00 8.575E-04
    3.0808887E-01 1.195E-02 1.500E+01 9.838E-04 1.378E+00 9.392E-04
    3.3870425E-01 1.253E-02 1.500E+01 1.051E-03 1.379E+00 1.022E-03
    3.7070169E-01 1.311E-02 1.500E+01 1.119E-03 1.380E+00 1.105E-03
    4.0422007E-01 1.370E-02 1.500E+01 1.189E-03 1.381E+00 1.190E-03
    4.3913495E-01 1.423E-02 1.500E+01 1.260E-03 1.381E+00 1.276E-03
    4.7541212E-01 1.483E-02 1.500E+01 1.333E-03 1.381E+00 1.364E-03
    5.1323756E-01 1.544E-02 1.500E+01 1.407E-03 1.380E+00 1.454E-03
    5.5260098E-01 1.606E-02 1.500E+01 1.484E-03 1.379E+00 1.546E-03
    5.9349628E-01 1.667E-02 1.500E+01 1.563E-03 1.378E+00 1.640E-03
    6.3593610E-01 1.729E-02 1.500E+01 1.643E-03 1.377E+00 1.737E-03
    6.7995152E-01 1.793E-02 1.500E+01 1.725E-03 1.375E+00 1.835E-03
    7.2559182E-01 1.860E-02 1.500E+01 1.810E-03 1.373E+00 1.936E-03
    7.7292361E-01 1.929E-02 1.500E+01 1.897E-03 1.371E+00 2.040E-03
    8.2202853E-01 2.002E-02 1.500E+01 1.986E-03 1.369E+00 2.146E-03
    8.7300098E-01 2.078E-02 1.500E+01 2.078E-03 1.367E+00 2.255E-03
    9.2594532E-01 2.159E-02 1.500E+01 2.172E-03 1.365E+00 2.367E-03
    9.8097147E-01 2.245E-02 1.500E+01 2.270E-03 1.362E+00 2.483E-03
    1.0381919E+00 2.335E-02 1.500E+01 2.370E-03 1.360E+00 2.602E-03
    1.0977183E+00 2.430E-02 1.500E+01 2.474E-03 1.358E+00 2.725E-03
    1.1596590E+00 2.528E-02 1.500E+01 2.581E-03 1.355E+00 2.851E-03
    1.2241167E+00 2.631E-02 1.500E+01 2.691E-03 1.353E+00 2.982E-03
    1.2911856E+00 2.737E-02 1.500E+01 2.805E-03 1.350E+00 3.117E-03
    1.3609516E+00 2.847E-02 1.500E+01 2.923E-03 1.348E+00 3.256E-03
    1.4334929E+00 2.959E-02 1.500E+01 3.045E-03 1.345E+00 3.400E-03
    1.5088799E+00 3.074E-02 1.500E+01 3.170E-03 1.343E+00 3.548E-03
    1.5871775E+00 3.192E-02 1.500E+01 3.300E-03 1.340E+00 3.701E-03
    1.6685494E+00 3.326E-02 1.500E+01 3.433E-03 1.338E+00 3.859E-03
    1.7534909E+00 3.472E-02 1.500E+01 3.572E-03 1.336E+00 4.022E-03
    1.8421177E+00 3.621E-02 1.500E+01 3.716E-03 1.333E+00 4.191E-03
    1.9344888E+00 3.772E-02 1.500E+01 3.864E-03 1.331E+00 4.367E-03
    2.0306557E+00 3.925E-02 1.500E+01 4.018E-03 1.329E+00 4.548E-03
    2.1306663E+00 4.079E-02 1.500E+01 4.177E-03 1.327E+00 4.735E-03
    2.2345674E+00 4.236E-02 1.500E+01 4.341E-03 1.324E+00 4.928E-03
    2.3424111E+00 4.398E-02 1.500E+01 4.511E-03 1.322E+00 5.127E-03
    2.4547612E+00 4.594E-02 1.500E+01 4.686E-03 1.320E+00 5.333E-03
    2.5720314E+00 4.792E-02 1.500E+01 4.868E-03 1.318E+00 5.547E-03
    2.6942511E+00 4.990E-02 1.500E+01 5.056E-03 1.316E+00 5.768E-03
    2.8214505E+00 5.190E-02 1.500E+01 5.251E-03 1.314E+00 5.997E-03
    2.9536640E+00 5.391E-02 1.500E+01 5.452E-03 1.312E+00 6.233E-03
    3.0000000E+00 5.461E-02 1.500E+01 5.522E-03 1.311E+00 6.316E-03
