   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  1005.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 2.0009264E-01 2.0180553E+05 6.9579E+02 2.487E-03 5.870E+02 3.139E-03 4.479E+02
 2.0179984E-01 2.0344539E+05 6.9977E+02 2.392E-03 5.921E+02 3.064E-03 4.407E+02
 2.0791465E-01 2.0931899E+05 7.1412E+02 2.453E-03 6.105E+02 3.159E-03 4.676E+02
 2.2565424E-01 2.2635885E+05 7.5687E+02 2.557E-03 6.656E+02 3.287E-03 5.260E+02
 2.5144990E-01 2.5113700E+05 8.1915E+02 2.430E-03 7.451E+02 3.077E-03 5.463E+02
 2.7899426E-01 2.7759487E+05 8.8173E+02 2.305E-03 8.237E+02 2.877E-03 5.646E+02
 3.0808887E-01 3.0554184E+05 9.4500E+02 2.220E-03 9.022E+02 2.742E-03 5.924E+02
 3.3870425E-01 3.3494959E+05 1.0094E+03 2.156E-03 9.814E+02 2.643E-03 6.258E+02
 3.7070169E-01 3.6568489E+05 1.0748E+03 2.103E-03 1.061E+03 2.564E-03 6.630E+02
 4.0422007E-01 3.9788114E+05 1.1419E+03 2.059E-03 1.143E+03 2.500E-03 7.032E+02
 4.3913495E-01 4.3141880E+05 1.2103E+03 2.021E-03 1.226E+03 2.445E-03 7.457E+02
 4.7541212E-01 4.6626502E+05 1.2802E+03 1.990E-03 1.310E+03 2.400E-03 7.910E+02
 5.1323756E-01 5.0259843E+05 1.3520E+03 1.958E-03 1.397E+03 2.356E-03 8.371E+02
 5.5260098E-01 5.4040916E+05 1.4255E+03 1.931E-03 1.485E+03 2.318E-03 8.857E+02
 5.9349628E-01 5.7969134E+05 1.5009E+03 1.906E-03 1.575E+03 2.284E-03 9.362E+02
 6.3593610E-01 6.2045712E+05 1.5782E+03 1.884E-03 1.668E+03 2.253E-03 9.885E+02
 6.7995152E-01 6.6273635E+05 1.6574E+03 1.863E-03 1.763E+03 2.225E-03 1.043E+03
 7.2559182E-01 7.0657636E+05 1.7386E+03 1.843E-03 1.860E+03 2.199E-03 1.098E+03
 7.7292361E-01 7.5204115E+05 1.8221E+03 1.825E-03 1.959E+03 2.174E-03 1.156E+03
 8.2202853E-01 7.9920912E+05 1.9078E+03 1.808E-03 2.061E+03 2.151E-03 1.216E+03
 8.7300098E-01 8.4817096E+05 1.9959E+03 1.791E-03 2.166E+03 2.130E-03 1.277E+03
 9.2594532E-01 8.9902691E+05 2.0866E+03 1.776E-03 2.274E+03 2.109E-03 1.341E+03
 9.8097147E-01 9.5188255E+05 2.1801E+03 1.761E-03 2.385E+03 2.090E-03 1.407E+03
 1.0381919E+00 1.0068459E+06 2.2766E+03 1.747E-03 2.499E+03 2.071E-03 1.475E+03
 1.0977183E+00 1.0640243E+06 2.3761E+03 1.733E-03 2.617E+03 2.054E-03 1.545E+03
 1.1596590E+00 1.1235218E+06 2.4789E+03 1.720E-03 2.739E+03 2.037E-03 1.618E+03
 1.2241167E+00 1.1854369E+06 2.5850E+03 1.707E-03 2.864E+03 2.019E-03 1.693E+03
 1.2911856E+00 1.2498602E+06 2.6946E+03 1.694E-03 2.994E+03 2.003E-03 1.770E+03
 1.3609516E+00 1.3168744E+06 2.8078E+03 1.682E-03 3.128E+03 1.988E-03 1.851E+03
 1.4334929E+00 1.3865542E+06 2.9246E+03 1.671E-03 3.266E+03 1.973E-03 1.934E+03
 1.5088799E+00 1.4589676E+06 3.0452E+03 1.659E-03 3.408E+03 1.958E-03 2.020E+03
 1.5871775E+00 1.5341767E+06 3.1696E+03 1.648E-03 3.555E+03 1.944E-03 2.109E+03
 1.6685494E+00 1.6123390E+06 3.2980E+03 1.637E-03 3.706E+03 1.930E-03 2.200E+03
 1.7534909E+00 1.6939299E+06 3.4311E+03 1.626E-03 3.863E+03 1.917E-03 2.295E+03
 1.8421177E+00 1.7790609E+06 3.5691E+03 1.615E-03 4.026E+03 1.903E-03 2.394E+03
 1.9344888E+00 1.8677884E+06 3.7120E+03 1.605E-03 4.194E+03 1.890E-03 2.496E+03
 2.0306557E+00 1.9601620E+06 3.8598E+03 1.594E-03 4.368E+03 1.877E-03 2.601E+03
 2.1306663E+00 2.0562276E+06 4.0125E+03 1.584E-03 4.548E+03 1.864E-03 2.711E+03
 2.2345674E+00 2.1560304E+06 4.1702E+03 1.574E-03 4.734E+03 1.852E-03 2.823E+03
 2.3424111E+00 2.2596202E+06 4.3328E+03 1.565E-03 4.925E+03 1.840E-03 2.939E+03
 2.4547612E+00 2.3675386E+06 4.5011E+03 1.555E-03 5.123E+03 1.828E-03 3.060E+03
 2.5720314E+00 2.4801831E+06 4.6758E+03 1.545E-03 5.328E+03 1.816E-03 3.184E+03
 2.6942511E+00 2.5975818E+06 4.8567E+03 1.536E-03 5.541E+03 1.804E-03 3.314E+03
 2.8214505E+00 2.7197638E+06 5.0438E+03 1.526E-03 5.760E+03 1.793E-03 3.447E+03
 2.9536640E+00 2.8467621E+06 5.2370E+03 1.517E-03 5.987E+03 1.782E-03 3.586E+03
 3.0000000E+00 2.8912704E+06 5.3045E+03 1.514E-03 6.067E+03 1.778E-03 3.634E+03
