   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  1005.00 htc based on (ts-tinf)
        intg  x/s            htc         uinf        st
           5  2.0009264E-01  5.5701E+01  1.5000E+01  3.1393E-03
          50  2.0179984E-01  5.4369E+01  1.5000E+01  3.0642E-03
         100  2.0791465E-01  5.6059E+01  1.5000E+01  3.1594E-03
         150  2.2565424E-01  5.8319E+01  1.5000E+01  3.2868E-03
         200  2.5144990E-01  5.4591E+01  1.5000E+01  3.0767E-03
         250  2.7899426E-01  5.1041E+01  1.5000E+01  2.8766E-03
         300  3.0808887E-01  4.8656E+01  1.5000E+01  2.7422E-03
         350  3.3870425E-01  4.6887E+01  1.5000E+01  2.6425E-03
         400  3.7070169E-01  4.5498E+01  1.5000E+01  2.5643E-03
         450  4.0422007E-01  4.4352E+01  1.5000E+01  2.4996E-03
         500  4.3913495E-01  4.3381E+01  1.5000E+01  2.4449E-03
         550  4.7541212E-01  4.2577E+01  1.5000E+01  2.3996E-03
         600  5.1323756E-01  4.1800E+01  1.5000E+01  2.3558E-03
         650  5.5260098E-01  4.1133E+01  1.5000E+01  2.3182E-03
         700  5.9349628E-01  4.0531E+01  1.5000E+01  2.2843E-03
         750  6.3593610E-01  3.9982E+01  1.5000E+01  2.2533E-03
         800  6.7995152E-01  3.9478E+01  1.5000E+01  2.2249E-03
         850  7.2559182E-01  3.9011E+01  1.5000E+01  2.1986E-03
         900  7.7292361E-01  3.8577E+01  1.5000E+01  2.1742E-03
         950  8.2202853E-01  3.8171E+01  1.5000E+01  2.1513E-03
        1000  8.7300098E-01  3.7789E+01  1.5000E+01  2.1298E-03
        1050  9.2594532E-01  3.7427E+01  1.5000E+01  2.1094E-03
        1100  9.8097147E-01  3.7083E+01  1.5000E+01  2.0900E-03
        1150  1.0381919E+00  3.6754E+01  1.5000E+01  2.0714E-03
        1200  1.0977183E+00  3.6438E+01  1.5000E+01  2.0536E-03
        1250  1.1596590E+00  3.6135E+01  1.5000E+01  2.0365E-03
        1300  1.2241167E+00  3.5832E+01  1.5000E+01  2.0195E-03
        1350  1.2911856E+00  3.5548E+01  1.5000E+01  2.0035E-03
        1400  1.3609516E+00  3.5273E+01  1.5000E+01  1.9879E-03
        1450  1.4334929E+00  3.5006E+01  1.5000E+01  1.9729E-03
        1500  1.5088799E+00  3.4746E+01  1.5000E+01  1.9583E-03
        1550  1.5871775E+00  3.4494E+01  1.5000E+01  1.9440E-03
        1600  1.6685494E+00  3.4247E+01  1.5000E+01  1.9302E-03
        1650  1.7534909E+00  3.4005E+01  1.5000E+01  1.9165E-03
        1700  1.8421177E+00  3.3768E+01  1.5000E+01  1.9031E-03
        1750  1.9344888E+00  3.3535E+01  1.5000E+01  1.8900E-03
        1800  2.0306557E+00  3.3307E+01  1.5000E+01  1.8771E-03
        1850  2.1306663E+00  3.3082E+01  1.5000E+01  1.8645E-03
        1900  2.2345674E+00  3.2862E+01  1.5000E+01  1.8521E-03
        1950  2.3424111E+00  3.2646E+01  1.5000E+01  1.8399E-03
        2000  2.4547612E+00  3.2433E+01  1.5000E+01  1.8279E-03
        2050  2.5720314E+00  3.2223E+01  1.5000E+01  1.8161E-03
        2100  2.6942511E+00  3.2016E+01  1.5000E+01  1.8044E-03
        2150  2.8214505E+00  3.1811E+01  1.5000E+01  1.7929E-03
        2200  2.9536640E+00  3.1611E+01  1.5000E+01  1.7816E-03
        2217  3.0000000E+00  3.1542E+01  1.5000E+01  1.7777E-03
