   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  2140.00 htc based on (ts-tinf)
        intg  x/s            htc         uinf        st
        4200  1.4689722E-02  2.9657E+04  1.5000E+01  1.1777E-03
        4250  1.4818592E-02  2.9648E+04  1.5000E+01  1.1773E-03
        4300  1.4947925E-02  2.9639E+04  1.5000E+01  1.1770E-03
        4350  1.5077722E-02  2.9630E+04  1.5000E+01  1.1766E-03
        4400  1.5207986E-02  2.9621E+04  1.5000E+01  1.1763E-03
        4450  1.5338718E-02  2.9612E+04  1.5000E+01  1.1759E-03
        4500  1.5469918E-02  2.9603E+04  1.5000E+01  1.1755E-03
        4550  1.5601589E-02  2.9593E+04  1.5000E+01  1.1752E-03
        4600  1.5733733E-02  2.9584E+04  1.5000E+01  1.1748E-03
        4650  1.5866350E-02  2.9575E+04  1.5000E+01  1.1744E-03
        4700  1.5999442E-02  2.9565E+04  1.5000E+01  1.1740E-03
        4750  1.6133010E-02  2.9556E+04  1.5000E+01  1.1737E-03
        4800  1.6267057E-02  2.9547E+04  1.5000E+01  1.1733E-03
        4850  1.6401583E-02  2.9537E+04  1.5000E+01  1.1729E-03
        4900  1.6536591E-02  2.9527E+04  1.5000E+01  1.1725E-03
        4950  1.6672081E-02  2.9518E+04  1.5000E+01  1.1722E-03
        5000  1.6808055E-02  2.9508E+04  1.5000E+01  1.1718E-03
        5050  1.6944514E-02  2.9498E+04  1.5000E+01  1.1714E-03
        5100  1.7081461E-02  2.9489E+04  1.5000E+01  1.1710E-03
        5150  1.7218897E-02  2.9479E+04  1.5000E+01  1.1706E-03
        5200  1.7356823E-02  2.9469E+04  1.5000E+01  1.1702E-03
        5250  1.7495240E-02  2.9459E+04  1.5000E+01  1.1698E-03
        5300  1.7634150E-02  2.9449E+04  1.5000E+01  1.1694E-03
        5350  1.7773556E-02  2.9439E+04  1.5000E+01  1.1690E-03
        5400  1.7913457E-02  2.9429E+04  1.5000E+01  1.1686E-03
        5450  1.8053856E-02  2.9419E+04  1.5000E+01  1.1682E-03
        5500  1.8194754E-02  2.9409E+04  1.5000E+01  1.1678E-03
        5550  1.8336153E-02  2.9399E+04  1.5000E+01  1.1674E-03
        5600  1.8478055E-02  2.9389E+04  1.5000E+01  1.1670E-03
        5650  1.8620460E-02  2.9379E+04  1.5000E+01  1.1666E-03
        5700  1.8763370E-02  2.9368E+04  1.5000E+01  1.1662E-03
        5750  1.8906787E-02  2.9358E+04  1.5000E+01  1.1658E-03
        5800  1.9050713E-02  2.9348E+04  1.5000E+01  1.1654E-03
        5850  1.9195148E-02  2.9337E+04  1.5000E+01  1.1650E-03
        5900  1.9340095E-02  2.9327E+04  1.5000E+01  1.1646E-03
        5950  1.9485554E-02  2.9317E+04  1.5000E+01  1.1642E-03
        6000  1.9631528E-02  2.9306E+04  1.5000E+01  1.1638E-03
        6050  1.9778018E-02  2.9296E+04  1.5000E+01  1.1633E-03
        6100  1.9925026E-02  2.9285E+04  1.5000E+01  1.1629E-03
        6150  2.0072552E-02  2.9275E+04  1.5000E+01  1.1625E-03
        6200  2.0220599E-02  2.9264E+04  1.5000E+01  1.1621E-03
        6250  2.0369168E-02  2.9254E+04  1.5000E+01  1.1617E-03
        6300  2.0518261E-02  2.9243E+04  1.5000E+01  1.1612E-03
        6350  2.0667878E-02  2.9232E+04  1.5000E+01  1.1608E-03
        6400  2.0818023E-02  2.9221E+04  1.5000E+01  1.1604E-03
        6450  2.0968696E-02  2.9211E+04  1.5000E+01  1.1600E-03
        6500  2.1119898E-02  2.9200E+04  1.5000E+01  1.1595E-03
        6550  2.1271632E-02  2.9189E+04  1.5000E+01  1.1591E-03
        6600  2.1423898E-02  2.9178E+04  1.5000E+01  1.1587E-03
        6650  2.1576699E-02  2.9168E+04  1.5000E+01  1.1583E-03
        6700  2.1730036E-02  2.9157E+04  1.5000E+01  1.1578E-03
        6750  2.1883910E-02  2.9146E+04  1.5000E+01  1.1574E-03
        6800  2.2038323E-02  2.9135E+04  1.5000E+01  1.1570E-03
        6850  2.2193277E-02  2.9124E+04  1.5000E+01  1.1565E-03
        6900  2.2348773E-02  2.9113E+04  1.5000E+01  1.1561E-03
        6950  2.2504812E-02  2.9102E+04  1.5000E+01  1.1556E-03
        7000  2.2661397E-02  2.9091E+04  1.5000E+01  1.1552E-03
        7050  2.2818529E-02  2.9080E+04  1.5000E+01  1.1548E-03
        7100  2.2976209E-02  2.9069E+04  1.5000E+01  1.1543E-03
        7150  2.3134438E-02  2.9058E+04  1.5000E+01  1.1539E-03
        7200  2.3293219E-02  2.9047E+04  1.5000E+01  1.1534E-03
        7250  2.3452554E-02  2.9036E+04  1.5000E+01  1.1530E-03
        7300  2.3612442E-02  2.9024E+04  1.5000E+01  1.1526E-03
        7350  2.3772887E-02  2.9013E+04  1.5000E+01  1.1521E-03
        7400  2.3933890E-02  2.9002E+04  1.5000E+01  1.1517E-03
        7450  2.4095452E-02  2.8991E+04  1.5000E+01  1.1512E-03
        7500  2.4257574E-02  2.8980E+04  1.5000E+01  1.1508E-03
        7550  2.4420259E-02  2.8968E+04  1.5000E+01  1.1503E-03
        7600  2.4583508E-02  2.8957E+04  1.5000E+01  1.1499E-03
        7650  2.4747323E-02  2.8946E+04  1.5000E+01  1.1494E-03
        7700  2.4911705E-02  2.8934E+04  1.5000E+01  1.1490E-03
        7750  2.5076655E-02  2.8923E+04  1.5000E+01  1.1485E-03
        7800  2.5242176E-02  2.8912E+04  1.5000E+01  1.1481E-03
        7850  2.5408269E-02  2.8900E+04  1.5000E+01  1.1476E-03
        7900  2.5574935E-02  2.8889E+04  1.5000E+01  1.1472E-03
        7950  2.5742176E-02  2.8877E+04  1.5000E+01  1.1467E-03
        8000  2.5909994E-02  2.8866E+04  1.5000E+01  1.1463E-03
        8050  2.6078390E-02  2.8855E+04  1.5000E+01  1.1458E-03
        8100  2.6247365E-02  2.8843E+04  1.5000E+01  1.1454E-03
        8150  2.6416922E-02  2.8832E+04  1.5000E+01  1.1449E-03
        8200  2.6587063E-02  2.8820E+04  1.5000E+01  1.1444E-03
        8250  2.6757787E-02  2.8809E+04  1.5000E+01  1.1440E-03
        8300  2.6929098E-02  2.8797E+04  1.5000E+01  1.1435E-03
        8350  2.7100997E-02  2.8785E+04  1.5000E+01  1.1431E-03
        8400  2.7273485E-02  2.8774E+04  1.5000E+01  1.1426E-03
        8450  2.7446565E-02  2.8762E+04  1.5000E+01  1.1422E-03
        8500  2.7620236E-02  2.8751E+04  1.5000E+01  1.1417E-03
        8550  2.7794502E-02  2.8739E+04  1.5000E+01  1.1412E-03
        8600  2.7969364E-02  2.8727E+04  1.5000E+01  1.1408E-03
        8650  2.8144823E-02  2.8716E+04  1.5000E+01  1.1403E-03
        8700  2.8320882E-02  2.8704E+04  1.5000E+01  1.1398E-03
        8750  2.8497541E-02  2.8692E+04  1.5000E+01  1.1394E-03
        8800  2.8674802E-02  2.8681E+04  1.5000E+01  1.1389E-03
        8850  2.8852667E-02  2.8669E+04  1.5000E+01  1.1385E-03
        8900  2.9031138E-02  2.8657E+04  1.5000E+01  1.1380E-03
        8950  2.9210216E-02  2.8646E+04  1.5000E+01  1.1375E-03
        9000  2.9389903E-02  2.8634E+04  1.5000E+01  1.1371E-03
        9050  2.9570200E-02  2.8622E+04  1.5000E+01  1.1366E-03
        9100  2.9751109E-02  2.8610E+04  1.5000E+01  1.1361E-03
        9150  2.9932632E-02  2.8599E+04  1.5000E+01  1.1357E-03
        9200  3.0114770E-02  2.8587E+04  1.5000E+01  1.1352E-03
        9250  3.0297525E-02  2.8575E+04  1.5000E+01  1.1347E-03
        9300  3.0480899E-02  2.8563E+04  1.5000E+01  1.1343E-03
        9350  3.0664893E-02  2.8551E+04  1.5000E+01  1.1338E-03
        9400  3.0849509E-02  2.8540E+04  1.5000E+01  1.1333E-03
        9450  3.1034749E-02  2.8528E+04  1.5000E+01  1.1328E-03
        9500  3.1220613E-02  2.8516E+04  1.5000E+01  1.1324E-03
        9550  3.1407105E-02  2.8504E+04  1.5000E+01  1.1319E-03
        9600  3.1594225E-02  2.8492E+04  1.5000E+01  1.1314E-03
        9650  3.1781975E-02  2.8480E+04  1.5000E+01  1.1310E-03
        9700  3.1970357E-02  2.8468E+04  1.5000E+01  1.1305E-03
        9750  3.2159372E-02  2.8456E+04  1.5000E+01  1.1300E-03
        9800  3.2349023E-02  2.8445E+04  1.5000E+01  1.1295E-03
        9850  3.2539310E-02  2.8433E+04  1.5000E+01  1.1291E-03
        9900  3.2730236E-02  2.8421E+04  1.5000E+01  1.1286E-03
        9950  3.2921802E-02  2.8409E+04  1.5000E+01  1.1281E-03
       10000  3.3114010E-02  2.8397E+04  1.5000E+01  1.1276E-03
       10050  3.3306861E-02  2.8385E+04  1.5000E+01  1.1272E-03
       10100  3.3500358E-02  2.8373E+04  1.5000E+01  1.1267E-03
       10150  3.3694501E-02  2.8361E+04  1.5000E+01  1.1262E-03
       10200  3.3889293E-02  2.8349E+04  1.5000E+01  1.1257E-03
       10250  3.4084735E-02  2.8337E+04  1.5000E+01  1.1253E-03
       10300  3.4280829E-02  2.8325E+04  1.5000E+01  1.1248E-03
       10350  3.4477576E-02  2.8313E+04  1.5000E+01  1.1243E-03
       10400  3.4674979E-02  2.8301E+04  1.5000E+01  1.1238E-03
       10450  3.4873039E-02  2.8289E+04  1.5000E+01  1.1234E-03
       10500  3.5071757E-02  2.8277E+04  1.5000E+01  1.1229E-03
       10550  3.5271136E-02  2.8265E+04  1.5000E+01  1.1224E-03
