   s200_5.dat, turb ml, flat plate, Ts(x)                                  
   scaling factor for x/s, s=  1.0000E+00
   constant props, csubp =  2140.00 htc based on (ts-tinf)
 x/s           rex           rem        cf/2      reh       st        nu
 1.1263333E-02 7.9182364E+05 2.0258E+03 1.896E-03 2.203E+03 1.187E-03 2.058E+03
 1.1379839E-02 7.9616221E+05 2.0340E+03 1.894E-03 2.208E+03 1.186E-03 2.068E+03
 1.1496768E-02 8.0051650E+05 2.0423E+03 1.892E-03 2.213E+03 1.186E-03 2.079E+03
 1.1614119E-02 8.0488655E+05 2.0505E+03 1.889E-03 2.219E+03 1.186E-03 2.090E+03
 1.1731896E-02 8.0927242E+05 2.0588E+03 1.887E-03 2.224E+03 1.185E-03 2.101E+03
 1.1850098E-02 8.1367415E+05 2.0671E+03 1.884E-03 2.229E+03 1.185E-03 2.112E+03
 1.1968728E-02 8.1809181E+05 2.0754E+03 1.882E-03 2.234E+03 1.185E-03 2.123E+03
 1.2087787E-02 8.2252543E+05 2.0838E+03 1.880E-03 2.239E+03 1.185E-03 2.134E+03
 1.2207277E-02 8.2697508E+05 2.0921E+03 1.877E-03 2.245E+03 1.184E-03 2.145E+03
 1.2327198E-02 8.3144082E+05 2.1005E+03 1.875E-03 2.250E+03 1.184E-03 2.156E+03
 1.2447552E-02 8.3592269E+05 2.1089E+03 1.873E-03 2.255E+03 1.184E-03 2.167E+03
 1.2568341E-02 8.4042075E+05 2.1173E+03 1.871E-03 2.261E+03 1.183E-03 2.178E+03
 1.2689567E-02 8.4493506E+05 2.1258E+03 1.868E-03 2.266E+03 1.183E-03 2.189E+03
 1.2811230E-02 8.4946567E+05 2.1342E+03 1.866E-03 2.271E+03 1.183E-03 2.200E+03
 1.2933333E-02 8.5401263E+05 2.1427E+03 1.864E-03 2.277E+03 1.182E-03 2.211E+03
 1.3055876E-02 8.5857601E+05 2.1512E+03 1.862E-03 2.282E+03 1.182E-03 2.223E+03
 1.3178861E-02 8.6315585E+05 2.1597E+03 1.860E-03 2.288E+03 1.182E-03 2.234E+03
 1.3302290E-02 8.6775222E+05 2.1683E+03 1.857E-03 2.293E+03 1.181E-03 2.245E+03
 1.3426165E-02 8.7236517E+05 2.1769E+03 1.855E-03 2.298E+03 1.181E-03 2.256E+03
 1.3550486E-02 8.7699475E+05 2.1854E+03 1.853E-03 2.304E+03 1.181E-03 2.268E+03
 1.3675255E-02 8.8164102E+05 2.1940E+03 1.851E-03 2.309E+03 1.180E-03 2.279E+03
 1.3800474E-02 8.8630403E+05 2.2027E+03 1.849E-03 2.315E+03 1.180E-03 2.291E+03
 1.3926144E-02 8.9098385E+05 2.2113E+03 1.847E-03 2.320E+03 1.180E-03 2.302E+03
 1.4052266E-02 8.9568052E+05 2.2200E+03 1.844E-03 2.326E+03 1.179E-03 2.313E+03
 1.4178843E-02 9.0039410E+05 2.2287E+03 1.842E-03 2.331E+03 1.179E-03 2.325E+03
 1.4305876E-02 9.0512465E+05 2.2374E+03 1.840E-03 2.337E+03 1.179E-03 2.336E+03
 1.4433365E-02 9.0987223E+05 2.2461E+03 1.838E-03 2.343E+03 1.178E-03 2.348E+03
 1.4561313E-02 9.1463688E+05 2.2549E+03 1.836E-03 2.348E+03 1.178E-03 2.360E+03
 1.4689722E-02 9.1941867E+05 2.2636E+03 1.834E-03 2.354E+03 1.178E-03 2.371E+03
 1.4818592E-02 9.2421765E+05 2.2724E+03 1.832E-03 2.360E+03 1.177E-03 2.383E+03
 1.4947925E-02 9.2903388E+05 2.2813E+03 1.830E-03 2.365E+03 1.177E-03 2.395E+03
 1.5077722E-02 9.3386740E+05 2.2901E+03 1.828E-03 2.371E+03 1.177E-03 2.406E+03
 1.5207986E-02 9.3871829E+05 2.2990E+03 1.826E-03 2.377E+03 1.176E-03 2.418E+03
 1.5338718E-02 9.4358659E+05 2.3078E+03 1.824E-03 2.382E+03 1.176E-03 2.430E+03
 1.5469918E-02 9.4847235E+05 2.3168E+03 1.822E-03 2.388E+03 1.176E-03 2.442E+03
 1.5601589E-02 9.5337565E+05 2.3257E+03 1.820E-03 2.394E+03 1.175E-03 2.454E+03
 1.5733733E-02 9.5829652E+05 2.3346E+03 1.818E-03 2.400E+03 1.175E-03 2.465E+03
 1.5866350E-02 9.6323503E+05 2.3436E+03 1.816E-03 2.405E+03 1.174E-03 2.477E+03
 1.5999442E-02 9.6819123E+05 2.3526E+03 1.814E-03 2.411E+03 1.174E-03 2.489E+03
 1.6133010E-02 9.7316518E+05 2.3616E+03 1.812E-03 2.417E+03 1.174E-03 2.501E+03
 1.6267057E-02 9.7815693E+05 2.3707E+03 1.810E-03 2.423E+03 1.173E-03 2.513E+03
 1.6401583E-02 9.8316655E+05 2.3797E+03 1.808E-03 2.429E+03 1.173E-03 2.525E+03
 1.6536591E-02 9.8819408E+05 2.3888E+03 1.806E-03 2.435E+03 1.173E-03 2.538E+03
 1.6672081E-02 9.9323958E+05 2.3979E+03 1.804E-03 2.441E+03 1.172E-03 2.550E+03
 1.6808055E-02 9.9830311E+05 2.4071E+03 1.803E-03 2.447E+03 1.172E-03 2.562E+03
 1.6944514E-02 1.0033847E+06 2.4162E+03 1.801E-03 2.453E+03 1.171E-03 2.574E+03
 1.7081461E-02 1.0084845E+06 2.4254E+03 1.799E-03 2.459E+03 1.171E-03 2.586E+03
 1.7218897E-02 1.0136024E+06 2.4346E+03 1.797E-03 2.464E+03 1.171E-03 2.599E+03
 1.7356823E-02 1.0187386E+06 2.4438E+03 1.795E-03 2.471E+03 1.170E-03 2.611E+03
 1.7495240E-02 1.0238932E+06 2.4531E+03 1.793E-03 2.477E+03 1.170E-03 2.623E+03
 1.7634150E-02 1.0290660E+06 2.4623E+03 1.791E-03 2.483E+03 1.169E-03 2.636E+03
 1.7773556E-02 1.0342573E+06 2.4716E+03 1.790E-03 2.489E+03 1.169E-03 2.648E+03
 1.7913457E-02 1.0394671E+06 2.4810E+03 1.788E-03 2.495E+03 1.169E-03 2.660E+03
 1.8053856E-02 1.0446954E+06 2.4903E+03 1.786E-03 2.501E+03 1.168E-03 2.673E+03
 1.8194754E-02 1.0499423E+06 2.4997E+03 1.784E-03 2.507E+03 1.168E-03 2.685E+03
 1.8336153E-02 1.0552079E+06 2.5091E+03 1.782E-03 2.513E+03 1.167E-03 2.698E+03
 1.8478055E-02 1.0604921E+06 2.5185E+03 1.780E-03 2.519E+03 1.167E-03 2.710E+03
 1.8620460E-02 1.0657951E+06 2.5279E+03 1.779E-03 2.525E+03 1.167E-03 2.723E+03
 1.8763370E-02 1.0711170E+06 2.5374E+03 1.777E-03 2.532E+03 1.166E-03 2.736E+03
 1.8906787E-02 1.0764577E+06 2.5468E+03 1.775E-03 2.538E+03 1.166E-03 2.748E+03
 1.9050713E-02 1.0818173E+06 2.5564E+03 1.773E-03 2.544E+03 1.165E-03 2.761E+03
 1.9195148E-02 1.0871959E+06 2.5659E+03 1.771E-03 2.550E+03 1.165E-03 2.774E+03
 1.9340095E-02 1.0925936E+06 2.5754E+03 1.770E-03 2.557E+03 1.165E-03 2.787E+03
 1.9485554E-02 1.0980103E+06 2.5850E+03 1.768E-03 2.563E+03 1.164E-03 2.799E+03
 1.9631528E-02 1.1034462E+06 2.5946E+03 1.766E-03 2.569E+03 1.164E-03 2.812E+03
 1.9778018E-02 1.1089014E+06 2.6043E+03 1.764E-03 2.576E+03 1.163E-03 2.825E+03
 1.9925026E-02 1.1143758E+06 2.6139E+03 1.763E-03 2.582E+03 1.163E-03 2.838E+03
 2.0072552E-02 1.1198695E+06 2.6236E+03 1.761E-03 2.588E+03 1.163E-03 2.851E+03
 2.0220599E-02 1.1253826E+06 2.6333E+03 1.759E-03 2.595E+03 1.162E-03 2.864E+03
 2.0369168E-02 1.1309151E+06 2.6430E+03 1.758E-03 2.601E+03 1.162E-03 2.877E+03
 2.0518261E-02 1.1364672E+06 2.6528E+03 1.756E-03 2.608E+03 1.161E-03 2.890E+03
 2.0667878E-02 1.1420388E+06 2.6626E+03 1.754E-03 2.614E+03 1.161E-03 2.903E+03
 2.0818023E-02 1.1476300E+06 2.6724E+03 1.752E-03 2.621E+03 1.160E-03 2.916E+03
 2.0968696E-02 1.1532409E+06 2.6822E+03 1.751E-03 2.627E+03 1.160E-03 2.930E+03
 2.1119898E-02 1.1588715E+06 2.6921E+03 1.749E-03 2.634E+03 1.160E-03 2.943E+03
 2.1271632E-02 1.1645219E+06 2.7019E+03 1.747E-03 2.640E+03 1.159E-03 2.956E+03
 2.1423898E-02 1.1701922E+06 2.7118E+03 1.746E-03 2.647E+03 1.159E-03 2.969E+03
 2.1576699E-02 1.1758823E+06 2.7218E+03 1.744E-03 2.653E+03 1.158E-03 2.983E+03
 2.1730036E-02 1.1815924E+06 2.7317E+03 1.742E-03 2.660E+03 1.158E-03 2.996E+03
 2.1883910E-02 1.1873225E+06 2.7417E+03 1.741E-03 2.667E+03 1.157E-03 3.009E+03
 2.2038323E-02 1.1930727E+06 2.7517E+03 1.739E-03 2.673E+03 1.157E-03 3.023E+03
 2.2193277E-02 1.1988430E+06 2.7617E+03 1.737E-03 2.680E+03 1.157E-03 3.036E+03
 2.2348773E-02 1.2046335E+06 2.7718E+03 1.736E-03 2.687E+03 1.156E-03 3.050E+03
 2.2504812E-02 1.2104442E+06 2.7819E+03 1.734E-03 2.693E+03 1.156E-03 3.063E+03
 2.2661397E-02 1.2162753E+06 2.7920E+03 1.733E-03 2.700E+03 1.155E-03 3.077E+03
 2.2818529E-02 1.2221267E+06 2.8021E+03 1.731E-03 2.707E+03 1.155E-03 3.091E+03
 2.2976209E-02 1.2279985E+06 2.8123E+03 1.729E-03 2.714E+03 1.154E-03 3.104E+03
 2.3134438E-02 1.2338908E+06 2.8225E+03 1.728E-03 2.721E+03 1.154E-03 3.118E+03
 2.3293219E-02 1.2398037E+06 2.8327E+03 1.726E-03 2.727E+03 1.153E-03 3.132E+03
 2.3452554E-02 1.2457371E+06 2.8429E+03 1.725E-03 2.734E+03 1.153E-03 3.146E+03
 2.3612442E-02 1.2516912E+06 2.8532E+03 1.723E-03 2.741E+03 1.153E-03 3.159E+03
 2.3772887E-02 1.2576660E+06 2.8635E+03 1.721E-03 2.748E+03 1.152E-03 3.173E+03
 2.3933890E-02 1.2636615E+06 2.8738E+03 1.720E-03 2.755E+03 1.152E-03 3.187E+03
 2.4095452E-02 1.2696779E+06 2.8841E+03 1.718E-03 2.762E+03 1.151E-03 3.201E+03
 2.4257574E-02 1.2757152E+06 2.8945E+03 1.717E-03 2.769E+03 1.151E-03 3.215E+03
 2.4420259E-02 1.2817734E+06 2.9049E+03 1.715E-03 2.776E+03 1.150E-03 3.229E+03
 2.4583508E-02 1.2878526E+06 2.9153E+03 1.713E-03 2.783E+03 1.150E-03 3.243E+03
 2.4747323E-02 1.2939529E+06 2.9258E+03 1.712E-03 2.790E+03 1.149E-03 3.257E+03
 2.4911705E-02 1.3000743E+06 2.9362E+03 1.710E-03 2.797E+03 1.149E-03 3.271E+03
 2.5076655E-02 1.3062169E+06 2.9467E+03 1.709E-03 2.804E+03 1.149E-03 3.286E+03
 2.5242176E-02 1.3123807E+06 2.9573E+03 1.707E-03 2.811E+03 1.148E-03 3.300E+03
 2.5408269E-02 1.3185658E+06 2.9678E+03 1.706E-03 2.818E+03 1.148E-03 3.314E+03
 2.5574935E-02 1.3247723E+06 2.9784E+03 1.704E-03 2.825E+03 1.147E-03 3.328E+03
 2.5742176E-02 1.3310002E+06 2.9890E+03 1.703E-03 2.832E+03 1.147E-03 3.343E+03
 2.5909994E-02 1.3372495E+06 2.9996E+03 1.701E-03 2.839E+03 1.146E-03 3.357E+03
 2.6078390E-02 1.3435204E+06 3.0103E+03 1.700E-03 2.847E+03 1.146E-03 3.371E+03
 2.6247365E-02 1.3498129E+06 3.0210E+03 1.698E-03 2.854E+03 1.145E-03 3.386E+03
 2.6416922E-02 1.3561270E+06 3.0317E+03 1.697E-03 2.861E+03 1.145E-03 3.400E+03
 2.6587063E-02 1.3624628E+06 3.0425E+03 1.695E-03 2.868E+03 1.144E-03 3.415E+03
 2.6757787E-02 1.3688205E+06 3.0532E+03 1.693E-03 2.876E+03 1.144E-03 3.429E+03
 2.6929098E-02 1.3751999E+06 3.0640E+03 1.692E-03 2.883E+03 1.144E-03 3.444E+03
 2.7100997E-02 1.3816012E+06 3.0748E+03 1.690E-03 2.890E+03 1.143E-03 3.459E+03
 2.7273485E-02 1.3880245E+06 3.0857E+03 1.689E-03 2.898E+03 1.143E-03 3.473E+03
 2.7446565E-02 1.3944698E+06 3.0966E+03 1.688E-03 2.905E+03 1.142E-03 3.488E+03
 2.7620236E-02 1.4009371E+06 3.1075E+03 1.686E-03 2.912E+03 1.142E-03 3.503E+03
 2.7794502E-02 1.4074266E+06 3.1184E+03 1.685E-03 2.920E+03 1.141E-03 3.518E+03
 2.7969364E-02 1.4139383E+06 3.1294E+03 1.683E-03 2.927E+03 1.141E-03 3.532E+03
 2.8144823E-02 1.4204722E+06 3.1404E+03 1.682E-03 2.935E+03 1.140E-03 3.547E+03
 2.8320882E-02 1.4270284E+06 3.1514E+03 1.680E-03 2.942E+03 1.140E-03 3.562E+03
 2.8497541E-02 1.4336070E+06 3.1625E+03 1.679E-03 2.950E+03 1.139E-03 3.577E+03
 2.8674802E-02 1.4402080E+06 3.1735E+03 1.677E-03 2.957E+03 1.139E-03 3.592E+03
 2.8852667E-02 1.4468315E+06 3.1846E+03 1.676E-03 2.965E+03 1.138E-03 3.607E+03
 2.9031138E-02 1.4534776E+06 3.1958E+03 1.674E-03 2.972E+03 1.138E-03 3.622E+03
 2.9210216E-02 1.4601463E+06 3.2069E+03 1.673E-03 2.980E+03 1.138E-03 3.637E+03
 2.9389903E-02 1.4668376E+06 3.2181E+03 1.671E-03 2.987E+03 1.137E-03 3.653E+03
 2.9570200E-02 1.4735517E+06 3.2293E+03 1.670E-03 2.995E+03 1.137E-03 3.668E+03
 2.9751109E-02 1.4802885E+06 3.2406E+03 1.669E-03 3.003E+03 1.136E-03 3.683E+03
 2.9932632E-02 1.4870483E+06 3.2519E+03 1.667E-03 3.010E+03 1.136E-03 3.698E+03
 3.0114770E-02 1.4938309E+06 3.2632E+03 1.666E-03 3.018E+03 1.135E-03 3.714E+03
 3.0297525E-02 1.5006365E+06 3.2745E+03 1.664E-03 3.026E+03 1.135E-03 3.729E+03
 3.0480899E-02 1.5074651E+06 3.2859E+03 1.663E-03 3.033E+03 1.134E-03 3.745E+03
 3.0664893E-02 1.5143169E+06 3.2972E+03 1.661E-03 3.041E+03 1.134E-03 3.760E+03
 3.0849509E-02 1.5211918E+06 3.3087E+03 1.660E-03 3.049E+03 1.133E-03 3.776E+03
 3.1034749E-02 1.5280899E+06 3.3201E+03 1.659E-03 3.057E+03 1.133E-03 3.791E+03
