  ====================================================
  TEXSTAN(academic)
  s31.dat, lam, pipe, CEF, q"s(x)                                         
  stepsize: variable from dx=  .010 to dx= 1.000
  energy eqn: solved, no source terms
  properties: constant
     po= 1.01325E+05  den= 1.00000E+03  vis= 8.90000E-04  sp_ht= 4.18200E+03
     prc(je)=    6.900
  initial profiles: kstart=  1  dyi= 5.000E-04  rate=  .0900
  laminar flow
  axx= 0.0000E+00  bxx= 0.0000E+00  cxx= 0.0000E+00  dxx= 0.0000E+00
  exx= 0.0000E+00  fxx= 0.0000E+00  gxx= 0.0000E+00
  ====================================================

   input Reynolds number= 1.0000E+03 (not TEXSTAN-calculated value)
   Reynolds number= 1.0000E+03    Prandtl number=    6.900
   U,mean = 8.9000E-03            d,h = 1.0000E-01
   viscom = 8.9000E-04            rhom  = 1.0000E+03

  ====================================================

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
    0 0.000E+00 0.000E+00 0.000E+00 5.179E+00  0.000E+00  0.000E+00

    i  y(i)      u(i)      y/y(E)    u/umean   f,ratio                
     3 3.724E-03 9.981E-03 7.449E-02 1.121E+00 3.979E-13
     4 5.900E-03 9.981E-03 1.180E-01 1.121E+00 1.592E-12
     5 8.226E-03 9.981E-03 1.645E-01 1.121E+00 3.411E-13
     6 1.057E-02 9.981E-03 2.114E-01 1.121E+00 4.547E-13
     7 1.292E-02 9.981E-03 2.583E-01 1.121E+00 2.274E-13
     8 1.527E-02 9.981E-03 3.054E-01 1.121E+00 -5.68E-14
     9 1.762E-02 9.981E-03 3.525E-01 1.121E+00 1.023E-12
    10 1.996E-02 9.981E-03 3.991E-01 1.121E+00 4.547E-13
    11 2.220E-02 9.981E-03 4.440E-01 1.121E+00 1.194E-12
    12 2.428E-02 9.981E-03 4.856E-01 1.121E+00 1.705E-12
    13 2.619E-02 9.981E-03 5.239E-01 1.121E+00 9.663E-13
    14 2.795E-02 9.981E-03 5.590E-01 1.121E+00 4.547E-13
    15 2.956E-02 9.981E-03 5.912E-01 1.121E+00 7.958E-13
    16 3.104E-02 9.981E-03 6.208E-01 1.121E+00 3.979E-13
    17 3.239E-02 9.981E-03 6.479E-01 1.121E+00 1.705E-13
    18 3.364E-02 9.981E-03 6.728E-01 1.121E+00 4.547E-13
    19 3.478E-02 9.981E-03 6.956E-01 1.121E+00 6.821E-13
    20 3.583E-02 9.981E-03 7.166E-01 1.121E+00 9.663E-13
    21 3.679E-02 9.981E-03 7.358E-01 1.121E+00 8.527E-13
    22 3.767E-02 9.980E-03 7.534E-01 1.121E+00 6.821E-13
    23 3.848E-02 9.978E-03 7.696E-01 1.121E+00 5.116E-13
    24 3.922E-02 9.974E-03 7.845E-01 1.121E+00 4.547E-13
    25 3.991E-02 9.964E-03 7.981E-01 1.120E+00 4.547E-13
    26 4.053E-02 9.947E-03 8.107E-01 1.118E+00 2.842E-13
    27 4.111E-02 9.917E-03 8.222E-01 1.114E+00 1.137E-13
    28 4.164E-02 9.871E-03 8.328E-01 1.109E+00 3.411E-13
    29 4.213E-02 9.805E-03 8.426E-01 1.102E+00 1.705E-13
    30 4.258E-02 9.716E-03 8.516E-01 1.092E+00 1.705E-13
    31 4.300E-02 9.602E-03 8.600E-01 1.079E+00 4.547E-13
    32 4.339E-02 9.464E-03 8.678E-01 1.063E+00 2.842E-13
    33 4.375E-02 9.301E-03 8.751E-01 1.045E+00 2.274E-13
    34 4.409E-02 9.115E-03 8.819E-01 1.024E+00 2.842E-13
    35 4.441E-02 8.908E-03 8.882E-01 1.001E+00 2.842E-13
    36 4.471E-02 8.683E-03 8.942E-01 9.756E-01 1.137E-13
    37 4.499E-02 8.442E-03 8.998E-01 9.485E-01 2.842E-13
    38 4.526E-02 8.187E-03 9.051E-01 9.199E-01 4.547E-13
    39 4.551E-02 7.923E-03 9.102E-01 8.902E-01 4.547E-13
    40 4.575E-02 7.650E-03 9.149E-01 8.596E-01 5.116E-13
    41 4.597E-02 7.371E-03 9.194E-01 8.282E-01 5.116E-13
    42 4.619E-02 7.089E-03 9.237E-01 7.965E-01 3.979E-13
    43 4.639E-02 6.803E-03 9.278E-01 7.644E-01 2.842E-13
    44 4.659E-02 6.517E-03 9.318E-01 7.323E-01 2.274E-13
    45 4.678E-02 6.231E-03 9.355E-01 7.001E-01 2.842E-13
    46 4.696E-02 5.946E-03 9.391E-01 6.681E-01 2.842E-13
    47 4.713E-02 5.663E-03 9.426E-01 6.363E-01 2.842E-13
    48 4.730E-02 5.381E-03 9.459E-01 6.047E-01 2.842E-13
    49 4.746E-02 5.103E-03 9.491E-01 5.733E-01 2.274E-13
    50 4.761E-02 4.827E-03 9.523E-01 5.423E-01 1.705E-13
    51 4.776E-02 4.553E-03 9.553E-01 5.116E-01 1.137E-13
    52 4.791E-02 4.282E-03 9.582E-01 4.811E-01 5.684E-14
    53 4.805E-02 4.012E-03 9.611E-01 4.508E-01 5.684E-14
    54 4.819E-02 3.744E-03 9.639E-01 4.207E-01 1.137E-13
    55 4.833E-02 3.477E-03 9.666E-01 3.906E-01 5.684E-14
    56 4.847E-02 3.208E-03 9.694E-01 3.605E-01 5.684E-14
    57 4.860E-02 2.938E-03 9.721E-01 3.301E-01 1.137E-13
    58 4.874E-02 2.663E-03 9.748E-01 2.992E-01 5.684E-14
    59 4.888E-02 2.380E-03 9.776E-01 2.674E-01 -5.68E-14
    60 4.902E-02 2.084E-03 9.805E-01 2.341E-01 -5.68E-14
    61 4.918E-02 1.766E-03 9.835E-01 1.984E-01 -5.68E-14
    62 4.935E-02 1.407E-03 9.869E-01 1.581E-01 -5.68E-14
    63 4.972E-02 6.148E-04 9.944E-01 6.907E-02 0.000E+00
    64 5.000E-02 0.000E+00 1.000E+00 0.000E+00 0.000E+00

 intg  x/dh      cfapp     cf2(I)    cf2(E)     nu(I)      nu(E)
  202 3.500E+00 6.126E-02 0.000E+00 1.208E-02  0.000E+00  0.000E+00

    i  y(i)      u(i)      y/y(E)    u/umean   f,ratio                
     1 0.000E+00 1.210E-02 0.000E+00 1.359E+00 -1.13E-13
     2 1.647E-03 1.210E-02 3.295E-02 1.359E+00 -1.13E-13
     3 3.383E-03 1.210E-02 6.766E-02 1.359E+00 6.253E-13
     4 5.359E-03 1.210E-02 1.072E-01 1.359E+00 6.821E-13
     5 7.472E-03 1.210E-02 1.494E-01 1.359E+00 3.411E-13
     6 9.599E-03 1.210E-02 1.920E-01 1.359E+00 2.274E-13
     7 1.173E-02 1.210E-02 2.347E-01 1.359E+00 2.274E-13
