   s31.dat, lam, pipe, CEF, q"s(x)                                         
    x/dh           tauw(I)    tauw(E)    cf2(I)     cf2(E)     delp
    2.5000001E-02  0.000E+00  5.464E-03  0.000E+00  6.898E-02  2.9001E-03
    1.0000000E-01  0.000E+00  3.152E-03  0.000E+00  3.979E-02  5.4950E-03
    2.0000000E-01  0.000E+00  2.405E-03  0.000E+00  3.036E-02  7.6995E-03
    3.0000000E-01  0.000E+00  2.065E-03  0.000E+00  2.607E-02  9.4081E-03
    4.0474860E-01  0.000E+00  1.853E-03  0.000E+00  2.339E-02  1.0939E-02
    5.5284033E-01  0.000E+00  1.661E-03  0.000E+00  2.096E-02  1.2830E-02
    7.7289678E-01  0.000E+00  1.483E-03  0.000E+00  1.872E-02  1.5244E-02
    1.0998890E+00  0.000E+00  1.324E-03  0.000E+00  1.672E-02  1.8308E-02
    1.5857819E+00  0.000E+00  1.185E-03  0.000E+00  1.497E-02  2.2184E-02
    2.3077931E+00  0.000E+00  1.066E-03  0.000E+00  1.346E-02  2.7092E-02
    3.3806633E+00  0.000E+00  9.649E-04  0.000E+00  1.218E-02  3.3326E-02
    4.9616893E+00  0.000E+00  8.809E-04  0.000E+00  1.112E-02  4.1235E-02
    7.3306275E+00  0.000E+00  8.109E-04  0.000E+00  1.024E-02  5.1519E-02
    1.0849682E+01  0.000E+00  7.543E-04  0.000E+00  9.522E-03  6.4911E-02
    1.5616390E+01  0.000E+00  7.125E-04  0.000E+00  8.995E-03  8.1004E-02
    2.1656034E+01  0.000E+00  6.832E-04  0.000E+00  8.625E-03  9.9651E-02
    2.9308548E+01  0.000E+00  6.626E-04  0.000E+00  8.365E-03  1.2172E-01
    3.8500000E+01  0.000E+00  6.493E-04  0.000E+00  8.198E-03  1.4685E-01
    4.8500000E+01  0.000E+00  6.418E-04  0.000E+00  8.103E-03  1.7316E-01
    5.8500000E+01  0.000E+00  6.379E-04  0.000E+00  8.054E-03  1.9901E-01
    6.8500000E+01  0.000E+00  6.359E-04  0.000E+00  8.028E-03  2.2462E-01
    7.8500000E+01  0.000E+00  6.348E-04  0.000E+00  8.014E-03  2.5010E-01
    8.8500000E+01  0.000E+00  6.342E-04  0.000E+00  8.007E-03  2.7552E-01
    9.8500000E+01  0.000E+00  6.339E-04  0.000E+00  8.003E-03  3.0091E-01
    1.0000000E+02  0.000E+00  6.339E-04  0.000E+00  8.003E-03  3.0471E-01
